state,W,I,K,KB,J,JB,GS,GB,TS,TA,TB
Total,13.7600,13.7600,9.8300,0.0000,40.5900,1.0500,18.6100,-12.2300,-0.8470,875.0000,44.5200
CO2+(X),13.7600,13.7600,3.4800,0.0000,4.0990,-2.3500,11.1100,-13.2600,-0.8470,1000.0000,27.5200
CO2+(A),17.8000,17.8000,8.6320,6.0000,86.3600,1.0040,12.0000,-18.8000,-1.9960,550.0000,10.2000
CO2+(B),18.1000,18.1000,4.6320,5.0000,85.3600,1.0040,12.0000,-18.5000,-0.9780,450.0000,10.2000
CO2+(C),19.4000,19.4000,0.5800,0.0000,21.1900,1.2700,10.9800,-19.0000,-0.8870,1000.0000,38.8000
CO+,24.7600,24.7600,1.3470,15.0000,6.6500,1.2560,9.5560,-24.0000,1.8870,800.0000,25.5200
O+,24.5000,24.5000,2.3990,40.0000,11.3400,-1.1000,13.4200,-24.0000,-0.5870,0.0000,0.0000
C+,29.5000,29.5000,1.6590,0.0000,53.5400,0.6250,10.6200,-29.0000,-0.5870,21.8000,44.0000
C++,79.9400,79.9400,0.0012,25.0000,0.1000,0.6560,79.1100,0.0000,0.8473,0.0000,0.0000
O++,94.0000,94.0000,0.0055,10.0000,1.7000,-3.1560,20.1100,0.0000,-0.8473,0.0000,0.0000
CO2++,37.6000,44.7500,0.0583,1.2000,0.2500,0.0000,11.5700,35.2600,1.6480,800.0000,30.5200
CO+ O+,44.7000,44.7000,0.2850,1.2000,0.5500,0.0000,11.9700,35.2600,1.5470,650.0000,30.5200
C+ O+,44.7000,44.7000,0.2880,1.2000,0.5500,0.0000,10.4000,45.0000,1.5470,750.0000,0.0000
O+ O+,44.7000,44.7000,0.1580,1.2000,0.4500,0.0000,5.4000,15.0000,5.5470,750.0000,0.0000
