energy (eV)),criss section (1E-16 cm2)
0.0897222,0.0100829
0.0899852,0.0188809
0.0902342,0.0370164
0.0904029,0.093411
0.0900964,0.243037
0.0907559,0.568162
0.0910615,0.941359
0.0910269,1.04777
0.09146,1.17521
0.0923875,1.24948
0.0928423,1.33859
0.0961354,1.88916
0.0942582,1.46746
0.0951857,1.69716
0.0991225,2.07128
0.101162,2.21927
0.104853,2.37811
0.108688,2.4905
0.113247,2.58844
0.121708,2.67038
0.126845,2.59074
0.130843,2.51327
0.134262,2.49462
0.137073,2.41984
0.139944,2.3473
0.143617,2.25967
0.146628,2.17522
0.15048,2.07806
0.153636,2.0004
0.156853,1.94043
0.160146,1.85368
0.164349,1.78448
0.1678,1.7047
0.173103,1.61621
0.177651,1.54402
0.182318,1.47505
0.187098,1.43089
0.192008,1.37747
0.197042,1.33623
0.202225,1.26681
0.208599,1.22893
0.214079,1.17404
0.219691,1.13889
0.224292,1.10475
0.230172,1.07167
0.23744,1.02384
0.244917,1.00086
0.252657,0.948903
0.261982,0.90659
0.271643,0.872816
0.281669,0.833896
0.310748,0.761339
0.323891,0.721876
0.335835,0.694983
0.350038,0.65896
0.366708,0.634462
0.384192,0.6016
0.402509,0.57044
0.426058,0.545091
0.446347,0.524827
0.549121,0.390077
0.661288,0.356381
0.844695,0.744194
0.929198,1.54038
1.0029,2.02997
1.10174,1.43981
1.17369,0.967746
1.3101,0.598178
1.82057,0.176352
2.35862,0.125244
2.79485,0.139587
3.61474,0.159294
