energy (eV)),cross section (1E-16 cm2)
0.083504174,0.018453357
0.08419124,0.042196571
0.084883958,0.119565345
0.086286541,0.90293004
0.092132491,1.451652037
0.093654845,1.691926041
0.098374505,1.971969628
0.10503942,2.229026847
0.114009096,2.406438255
0.123744724,2.558481386
0.13431171,2.597970087
0.141080241,2.638068274
0.148189866,2.558481386
0.163502023,2.443580257
0.177464022,2.263430606
0.199036343,2.002405855
0.219602364,1.798824995
0.246296973,1.56719108
0.25036667,1.543370044
0.271746338,1.429587174
0.294951691,1.324192792
0.320138627,1.226568468
0.347476363,1.136141366
0.377148561,1.068623779
0.409354571,0.989840935
0.444310762,0.931017558
0.482251982,0.875689884
0.523433133,0.823650173
0.568130884,0.78666013
0.616645529,0.739911199
0.669303006,0.695940422
0.726457086,0.6545827
0.788491749,0.62518546
0.855823764,0.588032501
0.928905491,0.561624023
1.008227918,0.528248336
1.094323958,0.512311811
1.518779274,0.371402471
2.039898417,0.344021326
3.022922731,0.728664676
3.561241482,1.474057458
3.865348109,1.912478019
4.060139217,1.912478019
4.553685044,1.386458497
5.107225731,0.91686625
6.016714866,0.561624023
10,0.167473765
15.06384863,0.117747972
19.90363434,0.133097076
30.4779509,0.150447021
