# 13C16O photoabsorption. 300K. Generated by Alan Heays 2016-04-21.
# wavelength(nm) cross_section(cm2)
89.60000 0.00000e+00
89.60010 0.00000e+00
89.60020 0.00000e+00
89.60030 0.00000e+00
89.60040 0.00000e+00
89.60050 0.00000e+00
89.60060 0.00000e+00
89.60070 0.00000e+00
89.60080 0.00000e+00
89.60090 0.00000e+00
89.60100 0.00000e+00
89.60110 0.00000e+00
89.60120 0.00000e+00
89.60130 0.00000e+00
89.60140 0.00000e+00
89.60150 0.00000e+00
89.60160 0.00000e+00
89.60170 0.00000e+00
89.60180 0.00000e+00
89.60190 0.00000e+00
89.60200 0.00000e+00
89.60210 0.00000e+00
89.60220 0.00000e+00
89.60230 0.00000e+00
89.60240 0.00000e+00
89.60250 0.00000e+00
89.60260 0.00000e+00
89.60270 0.00000e+00
89.60280 0.00000e+00
89.60290 0.00000e+00
89.60300 0.00000e+00
89.60310 0.00000e+00
89.60320 0.00000e+00
89.60330 0.00000e+00
89.60340 0.00000e+00
89.60350 0.00000e+00
89.60360 0.00000e+00
89.60370 0.00000e+00
89.60380 0.00000e+00
89.60390 0.00000e+00
89.60400 0.00000e+00
89.60410 0.00000e+00
89.60420 0.00000e+00
89.60430 0.00000e+00
89.60440 0.00000e+00
89.60450 0.00000e+00
89.60460 0.00000e+00
89.60470 0.00000e+00
89.60480 0.00000e+00
89.60490 0.00000e+00
89.60500 0.00000e+00
89.60510 0.00000e+00
89.60520 0.00000e+00
89.60530 0.00000e+00
89.60540 0.00000e+00
89.60550 0.00000e+00
89.60560 0.00000e+00
89.60570 0.00000e+00
89.60580 0.00000e+00
89.60590 0.00000e+00
89.60600 0.00000e+00
89.60610 0.00000e+00
89.60620 0.00000e+00
89.60630 0.00000e+00
89.60640 0.00000e+00
89.60650 0.00000e+00
89.60660 0.00000e+00
89.60670 0.00000e+00
89.60680 0.00000e+00
89.60690 0.00000e+00
89.60700 0.00000e+00
89.60710 0.00000e+00
89.60720 0.00000e+00
89.60730 0.00000e+00
89.60740 0.00000e+00
89.60750 0.00000e+00
89.60760 0.00000e+00
89.60770 0.00000e+00
89.60780 0.00000e+00
89.60790 0.00000e+00
89.60800 0.00000e+00
89.60810 0.00000e+00
89.60820 0.00000e+00
89.60830 0.00000e+00
89.60840 0.00000e+00
89.60850 0.00000e+00
89.60860 0.00000e+00
89.60870 0.00000e+00
89.60880 0.00000e+00
89.60890 0.00000e+00
89.60900 0.00000e+00
89.60910 0.00000e+00
89.60920 0.00000e+00
89.60930 0.00000e+00
89.60940 0.00000e+00
89.60950 0.00000e+00
89.60960 0.00000e+00
89.60970 0.00000e+00
89.60980 0.00000e+00
89.60990 0.00000e+00
89.61000 0.00000e+00
89.61010 0.00000e+00
89.61020 0.00000e+00
89.61030 0.00000e+00
89.61040 0.00000e+00
89.61050 0.00000e+00
89.61060 0.00000e+00
89.61070 0.00000e+00
89.61080 0.00000e+00
89.61090 0.00000e+00
89.61100 0.00000e+00
89.61110 0.00000e+00
89.61120 0.00000e+00
89.61130 0.00000e+00
89.61140 0.00000e+00
89.61150 0.00000e+00
89.61160 0.00000e+00
89.61170 0.00000e+00
89.61180 0.00000e+00
89.61190 0.00000e+00
89.61200 0.00000e+00
89.61210 0.00000e+00
89.61220 0.00000e+00
89.61230 0.00000e+00
89.61240 0.00000e+00
89.61250 0.00000e+00
89.61260 0.00000e+00
89.61270 0.00000e+00
89.61280 0.00000e+00
89.61290 0.00000e+00
89.61300 0.00000e+00
89.61310 0.00000e+00
89.61320 0.00000e+00
89.61330 0.00000e+00
89.61340 0.00000e+00
89.61350 0.00000e+00
89.61360 0.00000e+00
89.61370 0.00000e+00
89.61380 0.00000e+00
89.61390 0.00000e+00
89.61400 0.00000e+00
89.61410 0.00000e+00
89.61420 0.00000e+00
89.61430 0.00000e+00
89.61440 0.00000e+00
89.61450 0.00000e+00
89.61460 0.00000e+00
89.61470 0.00000e+00
89.61480 0.00000e+00
89.61490 0.00000e+00
89.61500 0.00000e+00
89.61510 0.00000e+00
89.61520 0.00000e+00
89.61530 0.00000e+00
89.61540 0.00000e+00
89.61550 0.00000e+00
89.61560 0.00000e+00
