; Whole Heliosphere Interval reference solar spectrum for low solar activity
; wav (A)   flx (ph cm-2 s-1 nm-1)
 1085.0    8.606E+08
 1095.0    5.786E+08
 1105.0    7.602E+08
 1115.0    7.252E+08
 1125.0    8.039E+08
 1135.0    4.524E+08
 1145.0    5.915E+08
 1155.0    7.829E+08
 1165.0    1.384E+09
 1175.0    4.479E+09
 1185.0    1.863E+09
 1195.0    3.009E+09
 1205.0    8.244E+09
 1215.0    3.577E+11
 1225.0    3.792E+09
 1235.0    2.424E+09
 1245.0    1.771E+09
 1255.0    1.642E+09
 1265.0    2.174E+09
 1275.0    1.227E+09
 1285.0    9.636E+08
 1295.0    1.084E+09
 1305.0    9.405E+09
 1315.0    1.576E+09
 1325.0    1.268E+09
 1335.0    1.110E+10
 1345.0    1.201E+09
 1355.0    2.761E+09
 1365.0    1.735E+09
 1375.0    1.891E+09
 1385.0    1.886E+09
 1395.0    4.662E+09
 1405.0    4.172E+09
 1415.0    2.700E+09
 1425.0    2.929E+09
 1435.0    3.361E+09
 1445.0    3.313E+09
 1455.0    3.552E+09
 1465.0    4.410E+09
 1475.0    5.560E+09
 1485.0    5.717E+09
 1495.0    5.177E+09
 1505.0    5.848E+09
 1515.0    6.346E+09
 1525.0    7.956E+09
 1535.0    8.844E+09
 1545.0    1.473E+10
 1555.0    1.326E+10
 1565.0    1.371E+10
 1575.0    1.231E+10
 1585.0    1.241E+10
 1595.0    1.252E+10
 1605.0    1.401E+10
 1615.0    1.652E+10
 1625.0    1.909E+10
 1635.0    2.047E+10
 1645.0    2.370E+10
 1655.0    3.796E+10
 1665.0    2.641E+10
 1675.0    3.097E+10
 1685.0    3.485E+10
 1695.0    4.648E+10
 1705.0    5.392E+10
 1715.0    5.453E+10
 1725.0    6.020E+10
 1735.0    6.127E+10
 1745.0    7.534E+10
 1755.0    9.232E+10
 1765.0    1.007E+11
 1775.0    1.221E+11
 1785.0    1.367E+11
 1795.0    1.363E+11
 1805.0    1.721E+11
 1815.0    2.063E+11
 1825.0    2.022E+11
 1835.0    2.177E+11
 1845.0    1.922E+11
 1855.0    2.197E+11
 1865.0    2.531E+11
 1875.0    2.839E+11
 1885.0    3.046E+11
 1895.0    3.351E+11
 1905.0    3.564E+11
 1915.0    3.825E+11
 1925.0    4.128E+11
 1935.0    3.262E+11
 1945.0    5.240E+11
 1955.0    5.097E+11
 1965.0    5.744E+11
 1975.0    5.823E+11
 1985.0    5.893E+11
 1995.0    6.412E+11
 2005.0    6.995E+11
 2015.0    7.744E+11
 2025.0    7.701E+11
 2035.0    8.906E+11
 2045.0    9.904E+11
 2055.0    1.027E+12
 2065.0    1.071E+12
 2075.0    1.243E+12
 2085.0    1.444E+12
 2095.0    2.106E+12
 2105.0    2.751E+12
 2115.0    3.346E+12
 2125.0    3.230E+12
 2135.0    2.944E+12
 2145.0    4.217E+12
 2155.0    3.495E+12
 2165.0    3.388E+12
 2175.0    3.306E+12
 2185.0    4.752E+12
 2195.0    5.001E+12
 2205.0    4.981E+12
 2215.0    3.543E+12
 2225.0    5.240E+12
 2235.0    6.683E+12
 2245.0    6.178E+12
 2255.0    5.466E+12
 2265.0    3.857E+12
 2275.0    3.921E+12
 2285.0    5.640E+12
 2295.0    4.808E+12
 2305.0    5.871E+12
 2315.0    5.065E+12
 2325.0    5.464E+12
 2335.0    4.591E+12
 2345.0    3.729E+12
 2355.0    6.019E+12
 2365.0    4.649E+12
 2375.0    5.652E+12
 2385.0    3.884E+12
 2395.0    4.817E+12
 2405.0    4.446E+12
 2415.0    5.242E+12
 2425.0    7.945E+12
 2435.0    7.313E+12
 2445.0    7.020E+12
 2455.0    5.585E+12
 2465.0    5.650E+12
 2475.0    6.564E+12
 2485.0    5.070E+12
 2495.0    6.548E+12
 2505.0    6.906E+12
 2515.0    5.347E+12
 2525.0    4.759E+12
 2535.0    6.160E+12
 2545.0    6.844E+12
 2555.0    9.734E+12
 2565.0    1.170E+13
 2575.0    1.459E+13
 2585.0    1.559E+13
 2595.0    1.298E+13
 2605.0    1.062E+13
 2615.0    1.046E+13
 2625.0    1.333E+13
 2635.0    1.975E+13
 2645.0    3.079E+13
 2655.0    3.224E+13
 2665.0    3.146E+13
 2675.0    3.160E+13
 2685.0    3.187E+13
 2695.0    2.862E+13
 2705.0    3.636E+13
 2715.0    3.026E+13
 2725.0    2.420E+13
 2735.0    2.770E+13
 2745.0    1.622E+13
 2755.0    2.394E+13
 2765.0    3.298E+13
 2775.0    3.300E+13
 2785.0    2.187E+13
 2795.0    1.031E+13
 2805.0    1.210E+13
 2815.0    2.860E+13
 2825.0    4.022E+13
 2835.0    4.510E+13
 2845.0    3.471E+13
 2855.0    1.773E+13
 2865.0    4.706E+13
 2875.0    5.172E+13
 2885.0    4.334E+13
 2895.0    6.513E+13
 2905.0    8.739E+13
 2915.0    8.167E+13
 2925.0    7.137E+13
 2935.0    8.148E+13
 2945.0    7.380E+13
 2955.0    8.331E+13
 2965.0    7.371E+13
 2975.0    7.969E+13
 2985.0    5.884E+13
 2995.0    8.216E+13
