; MAVEN EUVM average during DD2, *1.52^2
; wav (A)   flx (ph cm-2 s-1 nm-1)
     0.0    0.000E+00
    15.0    6.973E+07
    25.0    4.475E+07
    35.0    4.021E+07
    45.0    7.434E+07
    55.0    8.260E+07
    65.0    2.290E+08
    75.0    1.839E+08
    85.0    1.814E+08
    95.0    1.578E+08
   105.0    1.245E+08
   115.0    8.897E+07
   125.0    5.709E+07
   135.0    6.267E+07
   145.0    1.413E+08
   155.0    1.560E+08
   165.0    2.229E+08
   175.0    1.178E+09
   185.0    1.167E+09
   195.0    1.034E+09
   205.0    8.334E+08
   215.0    6.654E+08
   225.0    7.514E+08
   235.0    4.539E+08
   245.0    5.994E+08
   255.0    1.054E+09
   265.0    4.134E+08
   275.0    5.613E+08
   285.0    9.523E+08
   295.0    3.392E+08
   305.0    6.472E+09
   315.0    5.806E+08
   325.0    3.427E+08
   335.0    9.535E+08
   345.0    9.404E+08
   355.0    8.823E+08
   365.0    1.475E+09
   375.0    3.033E+08
   385.0    1.779E+08
   395.0    1.086E+08
   405.0    1.551E+08
   415.0    1.931E+08
   425.0    9.944E+07
   435.0    2.815E+08
   445.0    1.269E+08
   455.0    9.165E+07
   465.0    3.669E+08
   475.0    1.157E+08
   485.0    2.276E+08
   495.0    5.491E+08
   505.0    3.706E+08
   515.0    8.652E+07
   525.0    2.390E+08
   535.0    1.942E+08
   545.0    7.110E+07
   555.0    6.193E+08
   565.0    1.136E+08
   575.0    7.514E+07
   585.0    1.456E+09
   595.0    1.290E+08
   605.0    5.232E+08
   615.0    2.296E+08
   625.0    1.193E+09
   635.0    3.846E+08
   645.0    3.443E+07
   655.0    4.320E+07
   665.0    6.643E+07
   675.0    5.726E+07
   685.0    1.822E+08
   695.0    8.704E+07
   705.0    3.820E+08
   715.0    1.215E+08
   725.0    1.002E+08
   735.0    1.116E+08
   745.0    1.328E+08
