; MAVEN EUVM average during DD2, *1.52^2
; wav (A)   flx (ph cm-2 s-1 nm-1)
  745.0    1.328E+08
  755.0    2.168E+08
  765.0    5.903E+08
  775.0    6.079E+08
  785.0    8.732E+08
  795.0    6.614E+08
  805.0    4.080E+08
  815.0    4.936E+08
  825.0    6.358E+08
  835.0    1.501E+09
  845.0    8.493E+08
  855.0    9.791E+08
  865.0    1.090E+09
  875.0    1.245E+09
  885.0    1.531E+09
  895.0    1.855E+09
  905.0    2.298E+09
  915.0    1.748E+09
  925.0    4.737E+08
  935.0    5.270E+08
  945.0    4.035E+08
  955.0    1.885E+08
  965.0    1.882E+07
  975.0    5.994E+09
  985.0    1.966E+08
  995.0    5.522E+08
 1005.0    6.040E+07
 1015.0    1.277E+08
 1025.0    4.215E+09
 1035.0    4.386E+09
 1045.0    1.265E+08
 1055.0    1.599E+08
 1065.0    6.973E+08
 1075.0    7.969E+08
 1085.0    1.232E+09
