; High solar activity reference from solar maximum over Jan 1979 to 1982 Jan (solar cycle 21). Stitched from FISM (1-115 nm) and NRLSSI2 (115-2398 nm). *1.52^2/1.3814^2 for perihelion
; wav (A)   flx (ph cm-2 s-1 nm-1)
    5.0    6.008E+06
   15.0    2.397E+08
   25.0    1.165E+08
   35.0    8.280E+07
   45.0    2.005E+08
   55.0    2.119E+08
   65.0    3.158E+08
   75.0    1.757E+08
   85.0    1.371E+08
   95.0    1.723E+08
  105.0    1.242E+08
  115.0    9.369E+07
  125.0    7.360E+07
  135.0    1.206E+08
  145.0    9.211E+07
  155.0    6.055E+08
  165.0    1.176E+09
  175.0    3.512E+09
  185.0    2.949E+09
  195.0    2.159E+09
  205.0    2.148E+09
  215.0    2.161E+09
  225.0    1.351E+09
  235.0    6.841E+08
  245.0    9.369E+08
  255.0    1.770E+09
  265.0    9.572E+08
  275.0    3.549E+09
  285.0    5.589E+09
  295.0    2.819E+09
  305.0    1.035E+10
  315.0    2.033E+09
  325.0    1.475E+09
  335.0    3.168E+09
  345.0    1.866E+09
  355.0    1.823E+09
  365.0    1.975E+09
  375.0    5.268E+08
  385.0    3.057E+08
  395.0    2.270E+08
  405.0    2.574E+08
  415.0    3.929E+08
  425.0    1.943E+08
  435.0    2.457E+08
  445.0    2.800E+08
  455.0    2.206E+08
  465.0    4.035E+08
  475.0    2.900E+08
  485.0    4.814E+08
  495.0    9.541E+08
  505.0    8.637E+08
  515.0    4.032E+08
  525.0    4.974E+08
  535.0    2.831E+08
  545.0    2.132E+08
  555.0    2.101E+09
  565.0    2.474E+08
  575.0    2.607E+08
  585.0    2.030E+09
  595.0    3.185E+08
  605.0    9.844E+08
  615.0    7.901E+08
  625.0    1.631E+09
  635.0    1.334E+09
  645.0    1.987E+08
  655.0    1.819E+08
  665.0    2.045E+08
  675.0    1.720E+08
  685.0    2.820E+08
  695.0    2.719E+08
  705.0    4.839E+08
  715.0    2.277E+08
  725.0    2.744E+08
  735.0    1.605E+08
  745.0    2.188E+08
