; High solar activity reference from solar maximum over Jan 1979 to 1982 Jan (solar cycle 21). Stitched from FISM (1-115 nm) and NRLSSI2 (115-2398 nm). 
; wav (A)   flx (ph cm-2 s-1 nm-1)
 1085    2.378E+09
 1095    1.696E+09
 1105    1.802E+09
 1115    1.771E+09
 1125    1.891E+09
 1135    1.312E+09
 1145    4.961E+08
 1155    1.107E+09
 1165    1.608E+09
 1175    5.808E+09
 1185    2.318E+09
 1195    4.059E+09
 1205    1.368E+10
 1215    5.471E+11
 1225    5.066E+09
 1235    3.197E+09
 1245    2.350E+09
 1255    2.115E+09
 1265    3.287E+09
 1275    1.542E+09
 1285    1.193E+09
 1295    1.477E+09
 1305    1.227E+10
 1315    1.857E+09
 1325    1.546E+09
 1335    1.671E+10
 1345    1.446E+09
 1355    3.233E+09
 1365    2.102E+09
 1375    2.254E+09
 1385    2.221E+09
 1395    6.866E+09
 1405    5.603E+09
 1415    3.181E+09
 1425    3.389E+09
 1435    3.918E+09
 1445    3.868E+09
 1455    4.122E+09
 1465    5.129E+09
 1475    6.239E+09
 1485    6.487E+09
 1495    5.947E+09
 1505    6.681E+09
 1515    7.282E+09
 1525    9.524E+09
 1535    1.059E+10
 1545    1.808E+10
 1555    1.587E+10
 1565    1.592E+10
 1575    1.419E+10
 1585    1.417E+10
 1595    1.402E+10
 1605    1.585E+10
 1615    1.870E+10
 1625    2.173E+10
 1635    2.363E+10
 1645    2.793E+10
 1655    4.384E+10
 1665    2.921E+10
 1675    3.635E+10
 1685    3.854E+10
 1695    5.143E+10
 1705    6.002E+10
 1715    6.121E+10
 1725    6.725E+10
 1735    6.760E+10
 1745    8.312E+10
 1755    1.020E+11
 1765    1.105E+11
 1775    1.358E+11
 1785    1.513E+11
 1795    1.515E+11
 1805    1.937E+11
 1815    2.374E+11
 1825    2.218E+11
 1835    2.388E+11
 1845    2.085E+11
 1855    2.385E+11
 1865    2.760E+11
 1875    3.093E+11
 1885    3.324E+11
 1895    3.669E+11
 1905    3.873E+11
 1915    4.170E+11
 1925    4.496E+11
 1935    3.513E+11
 1945    5.711E+11
 1955    5.556E+11
 1965    6.234E+11
 1975    6.315E+11
 1985    6.344E+11
 1995    6.908E+11
 2005    7.531E+11
 2015    8.355E+11
 2025    8.276E+11
 2035    9.589E+11
 2045    1.070E+12
 2055    1.109E+12
 2065    1.157E+12
 2075    1.347E+12
 2085    1.543E+12
 2095    2.206E+12
 2105    2.860E+12
 2115    3.464E+12
 2125    3.352E+12
 2135    3.050E+12
 2145    4.359E+12
 2155    3.628E+12
 2165    3.519E+12
 2175    3.435E+12
 2185    4.922E+12
 2195    5.188E+12
 2205    5.152E+12
 2215    3.683E+12
 2225    5.402E+12
 2235    6.888E+12
 2245    6.359E+12
 2255    5.646E+12
 2265    4.024E+12
 2275    4.071E+12
 2285    5.829E+12
 2295    4.948E+12
 2305    6.059E+12
 2315    5.235E+12
 2325    5.638E+12
 2335    4.747E+12
 2345    3.865E+12
 2355    6.198E+12
 2365    4.820E+12
 2375    5.838E+12
 2385    4.047E+12
 2395    4.981E+12
 2405    4.599E+12
 2415    5.407E+12
 2425    8.148E+12
 2435    7.501E+12
 2445    7.224E+12
 2455    5.773E+12
 2465    5.819E+12
 2475    6.759E+12
 2485    5.262E+12
 2495    6.752E+12
 2505    7.127E+12
 2515    5.539E+12
 2525    4.913E+12
 2535    6.336E+12
 2545    7.012E+12
 2555    9.948E+12
 2565    1.190E+13
 2575    1.480E+13
 2585    1.583E+13
 2595    1.324E+13
 2605    1.087E+13
 2615    1.073E+13
 2625    1.364E+13
 2635    1.999E+13
 2645    3.111E+13
 2655    3.256E+13
 2665    3.167E+13
 2675    3.186E+13
 2685    3.215E+13
 2695    2.884E+13
 2705    3.660E+13
 2715    3.048E+13
 2725    2.449E+13
 2735    2.797E+13
 2745    1.649E+13
 2755    2.416E+13
 2765    3.319E+13
 2775    3.325E+13
 2785    2.216E+13
 2795    1.111E+13
 2805    1.276E+13
 2815    2.894E+13
 2825    4.056E+13
 2835    4.538E+13
 2845    3.507E+13
 2855    1.812E+13
 2865    4.736E+13
 2875    5.193E+13
 2885    4.365E+13
 2895    6.526E+13
 2905    8.759E+13
 2915    8.193E+13
 2925    7.156E+13
 2935    8.177E+13
 2945    7.409E+13
 2955    8.368E+13
 2965    7.411E+13
 2975    8.008E+13
 2985    5.926E+13
 2995    8.272E+13
