; MAVEN EUVM average during DD2, *1.52^2
; wav (A)   flx (ph cm-2 s-1 nm-1)
  805.0    7.130E+08
  815.0    9.030E+08
  825.0    1.104E+09
  835.0    4.981E+09
  845.0    1.493E+09
  855.0    1.716E+09
  865.0    1.878E+09
  875.0    2.114E+09
  885.0    2.652E+09
  895.0    3.361E+09
  905.0    4.646E+09
  915.0    3.418E+09
  925.0    8.579E+08
  935.0    2.066E+08
  945.0    5.578E+08
  955.0    1.842E+07
  965.0    2.894E+07
  975.0    3.128E+09
  985.0    5.114E+07
  995.0    2.364E+07
 1005.0    6.710E+07
