; MAVEN EUVM average during DD2, *1.52^2
; wav (A)   flx (ph cm-2 s-1 nm-1)
    0.0    0.000E+00
   15.0    1.224E+08
   25.0    7.864E+07
   35.0    7.085E+07
   45.0    1.300E+08
   55.0    1.474E+08
   65.0    3.432E+08
   75.0    3.337E+08
   85.0    3.315E+08
   95.0    2.869E+08
  105.0    2.291E+08
  115.0    1.666E+08
  125.0    8.033E+07
  135.0    9.658E+07
  145.0    2.050E+08
  155.0    2.114E+08
  165.0    2.733E+08
  175.0    2.972E+09
  185.0    1.276E+09
  195.0    3.312E+09
  205.0    9.261E+08
  215.0    5.394E+08
  225.0    1.630E+09
  235.0    8.935E+08
  245.0    9.530E+08
  255.0    1.277E+09
  265.0    1.452E+09
  275.0    1.427E+09
  285.0    4.405E+09
  295.0    5.692E+08
  305.0    1.886E+10
  315.0    1.359E+09
  325.0    3.628E+08
  335.0    4.751E+09
  345.0    1.272E+09
  355.0    1.766E+09
  365.0    1.961E+09
  375.0    6.366E+08
  385.0    3.863E+08
  395.0    1.833E+08
  405.0    1.441E+08
  415.0    1.736E+08
  425.0    1.386E+08
  435.0    6.090E+08
  445.0    3.353E+08
  455.0    1.377E+08
  465.0    1.907E+09
  475.0    1.855E+08
  485.0    3.443E+08
  495.0    4.269E+08
  505.0    5.963E+08
  515.0    2.220E+08
  525.0    2.576E+08
  535.0    1.230E+08
  545.0    1.074E+08
  555.0    3.168E+09
  565.0    8.503E+07
  575.0    1.818E+08
  585.0    9.593E+09
  595.0    4.205E+07
  605.0    5.140E+06
  615.0    4.638E+07
  625.0    2.044E+09
  635.0    1.540E+07
  645.0    9.043E+07
  655.0    5.458E+07
  665.0    5.581E+07
  675.0    8.730E+07
  685.0    5.648E+08
  695.0    2.280E+08
  705.0    9.145E+08
  715.0    1.350E+08
  725.0    1.578E+08
  735.0    2.027E+08
  745.0    2.256E+08
  755.0    2.656E+08
  765.0    2.121E+09
  775.0    4.227E+08
  785.0    7.001E+08
  795.0    5.261E+08
