; SORCE data for Apr 20, 2015, scaled to 1.54^2*EUVM DD2 irradiances between 1155-1945 A
; wav (A)   flx (ph cm-2 s-1 nm-1)
 1085.0    1.232E+09
 1095.0    9.028E+08
 1105.0    1.023E+09
 1115.0    9.808E+08
 1125.0    1.030E+09
 1135.0    7.002E+08
 1145.0    8.225E+08
 1155.0    9.370E+08
 1165.0    1.133E+09
 1175.0    4.189E+09
 1185.0    1.588E+09
 1195.0    2.772E+09
 1205.0    9.011E+09
 1215.0    3.756E+11
 1225.0    3.496E+09
 1235.0    2.291E+09
 1245.0    1.700E+09
 1255.0    1.485E+09
 1265.0    2.214E+09
 1275.0    1.079E+09
 1285.0    8.442E+08
 1295.0    1.049E+09
 1305.0    8.527E+09
 1315.0    1.346E+09
 1325.0    1.097E+09
 1335.0    1.164E+10
 1345.0    1.021E+09
 1355.0    2.317E+09
 1365.0    1.472E+09
 1375.0    1.597E+09
 1385.0    1.549E+09
 1395.0    4.827E+09
 1405.0    3.974E+09
 1415.0    2.240E+09
 1425.0    2.421E+09
 1435.0    2.788E+09
 1445.0    2.775E+09
 1455.0    2.942E+09
 1465.0    3.665E+09
 1475.0    4.546E+09
 1485.0    4.642E+09
 1495.0    4.277E+09
 1505.0    4.781E+09
 1515.0    5.274E+09
 1525.0    6.757E+09
 1535.0    7.576E+09
 1545.0    1.346E+10
 1555.0    1.174E+10
 1565.0    1.148E+10
 1575.0    1.018E+10
 1585.0    1.001E+10
 1595.0    9.905E+09
 1605.0    1.107E+10
 1615.0    1.319E+10
 1625.0    1.534E+10
 1635.0    1.668E+10
 1645.0    2.001E+10
 1655.0    3.130E+10
 1665.0    2.104E+10
 1675.0    2.566E+10
 1685.0    2.741E+10
 1695.0    3.656E+10
 1705.0    4.203E+10
 1715.0    4.296E+10
 1725.0    4.722E+10
 1735.0    4.737E+10
 1745.0    5.795E+10
 1755.0    7.155E+10
 1765.0    7.707E+10
 1775.0    9.438E+10
 1785.0    1.052E+11
 1795.0    1.054E+11
 1805.0    1.417E+11
 1815.0    1.712E+11
 1825.0    1.598E+11
 1835.0    1.722E+11
 1845.0    1.488E+11
 1855.0    1.717E+11
 1865.0    1.988E+11
 1875.0    2.230E+11
 1885.0    2.411E+11
 1895.0    2.659E+11
 1905.0    2.843E+11
 1915.0    3.033E+11
 1925.0    3.286E+11
 1935.0    2.557E+11
 1945.0    4.212E+11
 1955.0    4.099E+11
 1965.0    4.635E+11
 1975.0    4.695E+11
 1985.0    4.723E+11
 1995.0    5.154E+11
 2005.0    5.586E+11
 2015.0    6.182E+11
 2025.0    6.108E+11
 2035.0    7.093E+11
 2045.0    7.912E+11
 2055.0    8.186E+11
 2065.0    8.504E+11
 2075.0    9.876E+11
 2085.0    1.148E+12
 2095.0    1.647E+12
 2105.0    2.145E+12
 2115.0    2.605E+12
 2125.0    2.498E+12
 2135.0    2.271E+12
 2145.0    3.257E+12
 2155.0    2.692E+12
 2165.0    2.611E+12
 2175.0    2.555E+12
 2185.0    3.635E+12
 2195.0    3.850E+12
 2205.0    3.809E+12
 2215.0    2.728E+12
 2225.0    3.995E+12
 2235.0    5.108E+12
 2245.0    4.710E+12
 2255.0    4.182E+12
 2265.0    2.976E+12
 2275.0    3.014E+12
 2285.0    4.302E+12
 2295.0    3.658E+12
 2305.0    4.468E+12
 2315.0    3.851E+12
 2325.0    4.143E+12
 2335.0    3.471E+12
 2345.0    2.815E+12
 2355.0    4.501E+12
 2365.0    3.491E+12
 2375.0    4.219E+12
 2385.0    2.917E+12
 2395.0    3.589E+12
 2405.0    3.328E+12
 2415.0    3.911E+12
 2425.0    5.909E+12
 2435.0    5.473E+12
 2445.0    5.297E+12
 2455.0    4.272E+12
 2465.0    4.333E+12
 2475.0    5.037E+12
 2485.0    3.931E+12
 2495.0    5.047E+12
 2505.0    5.339E+12
 2515.0    4.149E+12
 2525.0    3.679E+12
 2535.0    4.733E+12
 2545.0    5.241E+12
 2555.0    7.389E+12
 2565.0    8.857E+12
 2575.0    1.101E+13
 2585.0    1.170E+13
 2595.0    9.842E+12
 2605.0    8.077E+12
 2615.0    7.924E+12
 2625.0    1.007E+13
 2635.0    1.472E+13
 2645.0    2.293E+13
 2655.0    2.391E+13
 2665.0    2.332E+13
 2675.0    2.345E+13
 2685.0    2.361E+13
 2695.0    2.116E+13
 2705.0    2.679E+13
 2715.0    2.229E+13
 2725.0    1.771E+13
 2735.0    2.037E+13
 2745.0    1.212E+13
 2755.0    1.736E+13
 2765.0    2.395E+13
 2775.0    2.386E+13
 2785.0    1.586E+13
 2795.0    7.804E+12
 2805.0    8.965E+12
 2815.0    2.053E+13
 2825.0    2.858E+13
 2835.0    3.188E+13
 2845.0    2.453E+13
 2855.0    1.250E+13
 2865.0    3.295E+13
 2875.0    3.596E+13
 2885.0    2.998E+13
 2895.0    4.475E+13
 2905.0    5.988E+13
 2915.0    5.596E+13
 2925.0    4.901E+13
 2935.0    5.578E+13
 2945.0    5.070E+13
 2955.0    5.698E+13
 2965.0    5.086E+13
 2975.0    5.469E+13
 2985.0    4.061E+13
 2995.0    5.698E+13
