; downloaded from LISIRD web site, SOURCE data for Jan 5, 2008
; wav (A)   flx (ph cm-2 s-1 bin-1)
  805.0    3.391E+08
  815.0    3.671E+08
  825.0    4.477E+08
  835.0    1.036E+09
  845.0    6.176E+08
  855.0    7.505E+08
  865.0    8.475E+08
  875.0    1.042E+09
  885.0    1.225E+09
  895.0    1.384E+09
  905.0    1.626E+09
  915.0    1.483E+09
  925.0    5.720E+08
  935.0    5.880E+08
  945.0    4.546E+08
  955.0    3.565E+08
  965.0    2.702E+08
  975.0    3.912E+09
  985.0    5.752E+08
  995.0    7.893E+08
