; downloaded from LISIRD web site, SOURCE data for Jan 5, 2008
; wav (A)   flx (ph cm-2 s-1 bin-1)
 1005.0    3.797E+08
 1015.0    5.106E+08
 1025.0    3.481E+09
 1035.0    3.482E+09
 1045.0    6.149E+08
 1055.0    6.076E+08
 1065.0    7.582E+08
 1075.0    8.991E+08
 1085.0    1.314E+09
 1095.0    9.868E+08
 1105.0    1.171E+09
 1115.0    1.109E+09
 1125.0    1.159E+09
 1135.0    7.677E+08
 1145.0    9.468E+08
 1155.0    1.129E+09
 1165.0    1.420E+09
 1175.0    4.756E+09
 1185.0    1.925E+09
 1195.0    3.116E+09
 1205.0    8.810E+09
 1215.0    3.905E+11
 1225.0    3.960E+09
 1235.0    2.550E+09
 1245.0    1.870E+09
 1255.0    1.707E+09
 1265.0    2.291E+09
 1275.0    1.258E+09
 1285.0    1.004E+09
 1295.0    1.403E+09
 1305.0    9.604E+09
 1315.0    1.645E+09
 1325.0    1.307E+09
 1335.0    1.188E+10
 1345.0    1.258E+09
 1355.0    2.782E+09
 1365.0    1.743E+09
 1375.0    1.851E+09
 1385.0    1.899E+09
 1395.0    4.984E+09
 1405.0    4.274E+09
 1415.0    2.779E+09
 1425.0    2.898E+09
 1435.0    3.468E+09
 1445.0    3.297E+09
 1455.0    3.531E+09
 1465.0    4.484E+09
 1475.0    5.619E+09
 1485.0    5.721E+09
 1495.0    5.114E+09
 1505.0    5.907E+09
 1515.0    6.396E+09
 1525.0    7.967E+09
 1535.0    9.063E+09
 1545.0    1.512E+10
 1555.0    1.326E+10
 1565.0    1.382E+10
 1575.0    1.231E+10
 1585.0    1.216E+10
 1595.0    1.216E+10
 1605.0    1.382E+10
 1615.0    1.654E+10
 1625.0    1.911E+10
 1635.0    1.998E+10
  1645.0    2.425E+10
 1655.0    3.890E+10
 1665.0    2.683E+10
 1675.0    3.152E+10
 1685.0    3.535E+10
 1695.0    4.716E+10
 1705.0    5.469E+10
 1715.0    5.543E+10
 1725.0    6.107E+10
 1735.0    6.211E+10
 1745.0    7.640E+10
 1755.0    9.393E+10
 1765.0    1.021E+11
 1775.0    1.242E+11
 1785.0    1.388E+11
 1795.0    1.384E+11
 1805.0    1.746E+11
 1815.0    2.102E+11
 1825.0    2.054E+11
 1835.0    2.204E+11
 1845.0    1.946E+11
 1855.0    2.217E+11
 1865.0    2.555E+11
 1875.0    2.877E+11
 1885.0    3.083E+11
 1895.0    3.396E+11
 1905.0    3.615E+11
 1915.0    3.867E+11
 1925.0    4.180E+11
 1935.0    3.276E+11
 1945.0    5.295E+11
 1955.0    5.169E+11
 1965.0    5.812E+11
 1975.0    5.904E+11
 1985.0    5.944E+11
 1995.0    6.487E+11
 2005.0    7.060E+11
 2015.0    7.830E+11
 2025.0    7.789E+11
 2035.0    9.011E+11
 2045.0    1.003E+12
 2055.0    1.038E+12
 2065.0    1.084E+12
 2075.0    1.260E+12
 2085.0    1.459E+12
 2095.0    2.116E+12
 2105.0    2.760E+12
 2115.0    3.373E+12
 2125.0    3.238E+12
 2135.0    2.965E+12
 2145.0    4.239E+12
 2155.0    3.523E+12
 2165.0    3.409E+12
 2175.0    3.337E+12
 2185.0    4.767E+12
 2195.0    5.045E+12
 2205.0    5.006E+12
 2215.0    3.569E+12
 2225.0    5.256E+12
 2235.0    6.719E+12
 2245.0    6.211E+12
 2255.0    5.501E+12
 2265.0    3.892E+12
 2275.0    3.935E+12
 2285.0    5.659E+12
 2295.0    4.832E+12
 2305.0    5.897E+12
 2315.0    5.083E+12
 2325.0    5.529E+12
 2335.0    4.615E+12
 2345.0    3.763E+12
 2355.0    6.044E+12
 2365.0    4.668E+12
 2375.0    5.658E+12
 2385.0    3.892E+12
 2395.0    4.825E+12
 2405.0    4.484E+12
 2415.0    5.287E+12
 2425.0    7.949E+12
 2435.0    7.323E+12
 2445.0    7.034E+12
 2455.0    5.615E+12
 2465.0    5.677E+12
 2475.0    6.589E+12
 2485.0    5.123E+12
 2495.0    6.565E+12
 2505.0    6.926E+12
 2515.0    5.374E+12
 2525.0    4.780E+12
 2535.0    6.182E+12
 2545.0    6.862E+12
 2555.0    9.737E+12
 2565.0    1.175E+13
 2575.0    1.459E+13
 2585.0    1.562E+13
 2595.0    1.298E+13
 2605.0    1.071E+13
 2615.0    1.048E+13
 2625.0    1.332E+13
 2635.0    1.978E+13
 2645.0    3.076E+13
 2655.0    3.222E+13
 2665.0    3.146E+13
 2675.0    3.171E+13
 2685.0    3.186E+13
 2695.0    2.870E+13
 2705.0    3.633E+13
 2715.0    3.028E+13
 2725.0    2.426E+13
 2735.0    2.772E+13
 2745.0    1.629E+13
 2755.0    2.428E+13
 2765.0    3.312E+13
 2775.0    3.309E+13
 2785.0    2.195E+13
 2795.0    1.039E+13
 2805.0    1.219E+13
 2815.0    2.876E+13
 2825.0    4.025E+13
 2835.0    4.505E+13
 2845.0    3.464E+13
 2855.0    1.778E+13
 2865.0    4.710E+13
 2875.0    5.170E+13
 2885.0    4.337E+13
 2895.0    6.505E+13
 2905.0    8.742E+13
 2915.0    8.163E+13
 2925.0    7.145E+13
 2935.0    8.123E+13
 2945.0    7.374E+13
 2955.0    8.355E+13
 2965.0    7.385E+13
 2975.0    7.968E+13
 2985.0    5.884E+13
 2995.0    8.220E+13
