state,W,I,K,KB,J,JB,GS,GB,TS,TA,TB
Total,13.76,13.76,9.83,0,40.59,1.05,18.61,-13.23,-0.847,875,44.52
CO2+(X),13.76,13.76,3.48,0,4.099,-2.35,11.11,-13.26,-0.847,1000,27.52
CO2+(A),17.8,17.8,8.632,6,86.36,1.004,12,-18.8,-1.996,550,10.2
CO2+(B),18.1,18.1,4.632,5,85.36,1.004,12,-18.5,-0.978,450,10.2
CO2+(C),19.4,19.4,0.58,0,21.19,1.27,10.98,-19,-0.887,1000,38.8
CO+,24.76,24.76,1.347,15,6.65,1.256,9.556,-24,1.887,800,25.52
O+,24.5,24.5,2.399,40,11.34,-1.1,13.42,-24,-0.587,0,0
C+,29.5,29.5,1.659,0,53.54,0.625,10.62,-29,2.8,21.8,44
C++,79.94,79.94,0.0012,25,0.1,0.656,79.11,0,0.8473,0,0
O++,94,94,0.0055,10,1.7,-3.156,20.11,0,-0.8473,0,0
CO2++,37.6,44.75,0.0583,1.2,0.25,0,11.57,35.26,1.548,800,30.52
CO+ O+,44.7,44.7,0.285,1.2,0.55,0,11.97,35.26,1.547,650,30.52
C+ O+,44.7,44.7,0.288,1.2,0.55,0,10.4,45,1.547,750,0
O+ O+,44.7,44.7,0.158,1.2,0.45,0,5.4,15,5.547,750,0
