e+CO2 cross-sections, extrapolated from Mumma et al. [1972]
Energy (eV), C I 1561 (cm2), C I 1657 (cm2)
0,0.0000000E+00,0.0000000E+00
0.1,0.0000000E+00,0.0000000E+00
0.2,0.0000000E+00,0.0000000E+00
0.3,0.0000000E+00,0.0000000E+00
0.4,0.0000000E+00,0.0000000E+00
0.5,0.0000000E+00,0.0000000E+00
0.6,0.0000000E+00,0.0000000E+00
0.7,0.0000000E+00,0.0000000E+00
0.8,0.0000000E+00,0.0000000E+00
0.9,0.0000000E+00,0.0000000E+00
1,0.0000000E+00,0.0000000E+00
1.1,0.0000000E+00,0.0000000E+00
1.2,0.0000000E+00,0.0000000E+00
1.3,0.0000000E+00,0.0000000E+00
1.4,0.0000000E+00,0.0000000E+00
1.5,0.0000000E+00,0.0000000E+00
1.6,0.0000000E+00,0.0000000E+00
1.7,0.0000000E+00,0.0000000E+00
1.8,0.0000000E+00,0.0000000E+00
1.9,0.0000000E+00,0.0000000E+00
2,0.0000000E+00,0.0000000E+00
2.1,0.0000000E+00,0.0000000E+00
2.2,0.0000000E+00,0.0000000E+00
2.3,0.0000000E+00,0.0000000E+00
2.4,0.0000000E+00,0.0000000E+00
2.5,0.0000000E+00,0.0000000E+00
2.6,0.0000000E+00,0.0000000E+00
2.7,0.0000000E+00,0.0000000E+00
2.8,0.0000000E+00,0.0000000E+00
2.9,0.0000000E+00,0.0000000E+00
3,0.0000000E+00,0.0000000E+00
3.1,0.0000000E+00,0.0000000E+00
3.2,0.0000000E+00,0.0000000E+00
3.3,0.0000000E+00,0.0000000E+00
3.4,0.0000000E+00,0.0000000E+00
3.5,0.0000000E+00,0.0000000E+00
3.6,0.0000000E+00,0.0000000E+00
3.7,0.0000000E+00,0.0000000E+00
3.8,0.0000000E+00,0.0000000E+00
3.9,0.0000000E+00,0.0000000E+00
4,0.0000000E+00,0.0000000E+00
4.1,0.0000000E+00,0.0000000E+00
4.2,0.0000000E+00,0.0000000E+00
4.3,0.0000000E+00,0.0000000E+00
4.4,0.0000000E+00,0.0000000E+00
4.5,0.0000000E+00,0.0000000E+00
4.6,0.0000000E+00,0.0000000E+00
4.7,0.0000000E+00,0.0000000E+00
4.8,0.0000000E+00,0.0000000E+00
4.9,0.0000000E+00,0.0000000E+00
5,0.0000000E+00,0.0000000E+00
5.1,0.0000000E+00,0.0000000E+00
5.2,0.0000000E+00,0.0000000E+00
5.3,0.0000000E+00,0.0000000E+00
