    35     19    4
Wavelength (Angstroms)
  7.450E+02  7.550E+02  7.650E+02  7.750E+02  7.850E+02  7.950E+02  8.050E+02  8.150E+02  8.250E+02  8.350E+02
  8.450E+02  8.550E+02  8.650E+02  8.750E+02  8.850E+02  8.950E+02  9.050E+02  9.150E+02  9.250E+02  9.350E+02
  9.450E+02  9.550E+02  9.650E+02  9.750E+02  9.850E+02  9.950E+02  1.005E+03  1.015E+03  1.025E+03  1.035E+03
  1.045E+03  1.055E+03  1.065E+03  1.075E+03  1.085E+03
CO2         4
Total Absorption Cross Section (cm^2) 
  2.442E-17  5.842E-17  5.191E-17  3.565E-17  3.070E-17  2.253E-17  1.967E-17  1.695E-17  1.415E-17  1.327E-17
  1.500E-17  1.777E-17  1.928E-17  7.314E-18  2.393E-17  4.625E-17  5.623E-17  4.494E-17  4.176E-17  3.962E-17
  2.968E-17  3.683E-17  2.607E-17  1.749E-17  4.496E-17  5.984E-17  5.195E-17  3.055E-17  3.582E-17  3.140E-17
  2.221E-17  1.800E-17  2.156E-17  1.874E-17  4.114E-17
Total Ion Cross Section (cm^2) 
  2.442E-17  5.842E-17  5.127E-17  2.905E-17  2.373E-17  1.624E-17  1.368E-17  1.242E-17  1.155E-17  1.137E-17
  1.252E-17  1.441E-17  1.524E-17  5.368E-18  1.529E-17  2.056E-17  2.070E-18  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
CO2          + hv           = CO2P         + E            +              +             899.9
  9.986E-01  9.990E-01  9.873E-01  8.147E-01  7.730E-01  7.208E-01  6.954E-01  7.328E-01  8.162E-01  8.568E-01
  8.348E-01  8.108E-01  7.906E-01  7.339E-01  6.390E-01  4.446E-01  3.682E-02  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
CO2          + hv           = COP          + O            + E            +             636.1
  1.363E-03  9.687E-04  5.106E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
