75
; Average EUVM spectrum over 20170912-20180109.
; Values are scaled by *1.52^2 for model. 
; wave (A)   flux (photons cm-2 s-1 nm-1)
    5.0    1.145E+05
   15.0    6.700E+06
   25.0    1.136E+07
   35.0    1.332E+07
   45.0    2.553E+07
   55.0    4.503E+07
   65.0    1.013E+08
   75.0    9.780E+07
   85.0    1.108E+08
   95.0    1.068E+08
  105.0    8.851E+07
  115.0    6.759E+07
  125.0    3.659E+07
  135.0    4.247E+07
  145.0    9.892E+07
  155.0    8.735E+07
  165.0    1.527E+08
  175.0    1.107E+09
  185.0    9.184E+08
  195.0    6.826E+08
  205.0    4.479E+08
  215.0    3.241E+08
  225.0    5.224E+08
  235.0    3.274E+08
  245.0    4.058E+08
  255.0    7.168E+08
  265.0    1.806E+08
  275.0    2.863E+08
  285.0    2.331E+08
  295.0    1.937E+08
  305.0    5.844E+09
  315.0    4.275E+08
  325.0    1.448E+08
  335.0    2.298E+08
  345.0    4.662E+08
  355.0    3.625E+08
  365.0    7.445E+08
  375.0    8.132E+07
  385.0    8.304E+07
  395.0    4.689E+07
  405.0    1.036E+08
  415.0    5.047E+07
  425.0    2.853E+07
  435.0    1.992E+08
  445.0    5.068E+07
  455.0    6.335E+07
  465.0    3.165E+08
  475.0    9.549E+07
  485.0    1.986E+08
  495.0    3.207E+08
  505.0    3.413E+08
  515.0    5.674E+07
  525.0    1.224E+08
  535.0    1.701E+08
  545.0    5.598E+07
  555.0    6.143E+08
  565.0    9.835E+07
  575.0    6.274E+07
  585.0    1.084E+09
  595.0    1.228E+08
  605.0    3.124E+08
  615.0    1.858E+08
  625.0    1.008E+09
  635.0    4.471E+08
  645.0    3.224E+07
  655.0    4.101E+07
  665.0    5.628E+07
  675.0    5.803E+07
  685.0    1.736E+08
  695.0    8.311E+07
  705.0    3.929E+08
  715.0    1.123E+08
  725.0    9.614E+07
  735.0    1.095E+08
  745.0    1.456E+08
