192
; < 190 nm: Average EUVM spectrum over 20170912-20180109 (Values are scaled by *1.52^2 for model).
; > 190 nm: Whole Heliosphere Interval reference solar spectrum for low solar activity (Earth-based values are scaled by *1.52^2/1.6660^2 for Mars aphelion).
; wave (A)   flux (photons cm-2 s-1 nm-1)
 1085.0    1.181E+09
 1095.0    9.003E+08
 1105.0    1.059E+09
 1115.0    1.003E+09
 1125.0    1.068E+09
 1135.0    6.960E+08
 1145.0    8.654E+08
 1155.0    1.037E+09
 1165.0    1.253E+09
 1175.0    3.995E+09
 1185.0    1.604E+09
 1195.0    2.620E+09
 1205.0    7.441E+09
 1215.0    3.255E+11
 1225.0    3.318E+09
 1235.0    2.147E+09
 1245.0    1.575E+09
 1255.0    1.437E+09
 1265.0    1.930E+09
 1275.0    1.052E+09
 1285.0    8.386E+08
 1295.0    9.552E+08
 1305.0    8.368E+09
 1315.0    1.375E+09
 1325.0    1.098E+09
 1335.0    9.991E+09
 1345.0    1.041E+09
 1355.0    2.373E+09
 1365.0    1.494E+09
 1375.0    1.631E+09
 1385.0    1.622E+09
 1395.0    4.206E+09
 1405.0    3.702E+09
 1415.0    2.316E+09
 1425.0    2.521E+09
 1435.0    2.897E+09
 1445.0    2.854E+09
 1455.0    3.070E+09
 1465.0    3.811E+09
 1475.0    4.792E+09
 1485.0    4.933E+09
 1495.0    4.472E+09
 1505.0    5.040E+09
 1515.0    5.513E+09
 1525.0    6.889E+09
 1535.0    7.678E+09
 1545.0    1.298E+10
 1555.0    1.168E+10
 1565.0    1.191E+10
 1575.0    1.066E+10
 1585.0    1.070E+10
 1595.0    1.073E+10
 1605.0    1.209E+10
 1615.0    1.434E+10
 1625.0    1.664E+10
 1635.0    1.786E+10
 1645.0    2.067E+10
 1655.0    3.325E+10
 1665.0    2.293E+10
 1675.0    2.710E+10
 1685.0    3.020E+10
 1695.0    4.004E+10
 1705.0    4.629E+10
 1715.0    4.662E+10
 1725.0    5.145E+10
 1735.0    5.230E+10
 1745.0    6.437E+10
 1755.0    7.919E+10
 1765.0    8.620E+10
 1775.0    1.047E+11
 1785.0    1.173E+11
 1795.0    1.172E+11
 1805.0    1.547E+11
 1815.0    1.829E+11
 1825.0    1.770E+11
 1835.0    1.905E+11
 1845.0    1.660E+11
 1855.0    1.893E+11
 1865.0    2.188E+11
 1875.0    2.463E+11
 1885.0    2.651E+11
 1895.0    2.931E+11
 1905.0    2.967E+11
 1915.0    3.184E+11
 1925.0    3.436E+11
 1935.0    2.715E+11
 1945.0    4.362E+11
 1955.0    4.243E+11
 1965.0    4.781E+11
 1975.0    4.847E+11
 1985.0    4.905E+11
 1995.0    5.337E+11
 2005.0    5.823E+11
 2015.0    6.446E+11
 2025.0    6.410E+11
 2035.0    7.413E+11
 2045.0    8.244E+11
 2055.0    8.549E+11
 2065.0    8.915E+11
 2075.0    1.035E+12
 2085.0    1.202E+12
 2095.0    1.753E+12
 2105.0    2.290E+12
 2115.0    2.785E+12
 2125.0    2.689E+12
 2135.0    2.451E+12
 2145.0    3.510E+12
 2155.0    2.909E+12
 2165.0    2.820E+12
 2175.0    2.752E+12
 2185.0    3.956E+12
 2195.0    4.163E+12
 2205.0    4.146E+12
 2215.0    2.949E+12
 2225.0    4.362E+12
 2235.0    5.563E+12
 2245.0    5.143E+12
 2255.0    4.550E+12
 2265.0    3.211E+12
 2275.0    3.264E+12
 2285.0    4.695E+12
 2295.0    4.002E+12
 2305.0    4.887E+12
 2315.0    4.216E+12
 2325.0    4.548E+12
 2335.0    3.822E+12
 2345.0    3.104E+12
 2355.0    5.010E+12
 2365.0    3.870E+12
 2375.0    4.705E+12
 2385.0    3.233E+12
 2395.0    4.010E+12
 2405.0    3.701E+12
 2415.0    4.363E+12
 2425.0    6.613E+12
 2435.0    6.087E+12
 2445.0    5.844E+12
 2455.0    4.649E+12
 2465.0    4.703E+12
 2475.0    5.464E+12
 2485.0    4.220E+12
 2495.0    5.451E+12
 2505.0    5.749E+12
 2515.0    4.451E+12
 2525.0    3.961E+12
 2535.0    5.128E+12
 2545.0    5.697E+12
 2555.0    8.103E+12
 2565.0    9.739E+12
 2575.0    1.214E+13
 2585.0    1.298E+13
 2595.0    1.080E+13
 2605.0    8.840E+12
 2615.0    8.707E+12
 2625.0    1.110E+13
 2635.0    1.644E+13
 2645.0    2.563E+13
 2655.0    2.684E+13
 2665.0    2.619E+13
 2675.0    2.630E+13
 2685.0    2.653E+13
 2695.0    2.382E+13
 2705.0    3.027E+13
 2715.0    2.519E+13
 2725.0    2.014E+13
 2735.0    2.306E+13
 2745.0    1.350E+13
 2755.0    1.993E+13
 2765.0    2.745E+13
 2775.0    2.747E+13
 2785.0    1.820E+13
 2795.0    8.582E+12
 2805.0    1.007E+13
 2815.0    2.381E+13
 2825.0    3.348E+13
 2835.0    3.754E+13
 2845.0    2.889E+13
 2855.0    1.476E+13
 2865.0    3.917E+13
 2875.0    4.305E+13
 2885.0    3.608E+13
 2895.0    5.421E+13
 2905.0    7.274E+13
 2915.0    6.798E+13
 2925.0    5.941E+13
 2935.0    6.782E+13
 2945.0    6.143E+13
 2955.0    6.935E+13
 2965.0    6.136E+13
 2975.0    6.633E+13
 2985.0    4.898E+13
 2995.0    6.839E+13
