75
; Average EUVM spectrum over 20170912-20180109.
; Values are scaled by *1.52^2 for model. 
; wave (A)   flux (photons cm-2 s-1 nm-1)
    5.0    2.804E+05
   15.0    1.520E+07
   25.0    1.976E+07
   35.0    2.268E+07
   45.0    4.214E+07
   55.0    7.318E+07
   65.0    1.570E+08
   75.0    1.502E+08
   85.0    1.674E+08
   95.0    1.590E+08
  105.0    1.310E+08
  115.0    9.905E+07
  125.0    5.447E+07
  135.0    6.268E+07
  145.0    1.460E+08
  155.0    1.327E+08
  165.0    2.252E+08
  175.0    1.592E+09
  185.0    1.346E+09
  195.0    1.021E+09
  205.0    6.891E+08
  215.0    5.049E+08
  225.0    7.736E+08
  235.0    4.798E+08
  245.0    5.996E+08
  255.0    1.062E+09
  265.0    2.797E+08
  275.0    4.333E+08
  285.0    4.045E+08
  295.0    2.805E+08
  305.0    8.486E+09
  315.0    6.061E+08
  325.0    2.055E+08
  335.0    3.778E+08
  345.0    6.833E+08
  355.0    5.281E+08
  365.0    1.091E+09
  375.0    1.212E+08
  385.0    1.233E+08
  395.0    7.058E+07
  405.0    1.516E+08
  415.0    8.952E+07
  425.0    4.509E+07
  435.0    2.905E+08
  445.0    8.049E+07
  455.0    9.343E+07
  465.0    4.549E+08
  475.0    1.394E+08
  485.0    2.954E+08
  495.0    4.935E+08
  505.0    5.019E+08
  515.0    8.451E+07
  525.0    1.899E+08
  535.0    2.509E+08
  545.0    8.187E+07
  555.0    8.809E+08
  565.0    1.420E+08
  575.0    9.094E+07
  585.0    1.645E+09
  595.0    1.761E+08
  605.0    4.775E+08
  615.0    2.693E+08
  625.0    1.479E+09
  635.0    6.360E+08
  645.0    4.549E+07
  655.0    5.791E+07
  665.0    7.951E+07
  675.0    8.194E+07
  685.0    2.462E+08
  695.0    1.172E+08
  705.0    5.586E+08
  715.0    1.586E+08
  725.0    1.357E+08
  735.0    1.545E+08
  745.0    2.054E+08
