192
; < 190 nm: Average EUVM spectrum over 20170912-20180109 (Values are scaled by *1.52^2 for model).
; > 190 nm: Whole Heliosphere Interval reference solar spectrum for low solar activity (Earth-based values are scaled by *1.52^2/1.3814^2 for Mars perihelion).
; wave (A)   flux (photons cm-2 s-1 nm-1)
 1085.0    1.728E+09
 1095.0    1.309E+09
 1105.0    1.534E+09
 1115.0    1.452E+09
 1125.0    1.541E+09
 1135.0    1.011E+09
 1145.0    1.251E+09
 1155.0    1.495E+09
 1165.0    1.790E+09
 1175.0    5.754E+09
 1185.0    2.296E+09
 1195.0    3.768E+09
 1205.0    1.086E+10
 1215.0    4.727E+11
 1225.0    4.780E+09
 1235.0    3.097E+09
 1245.0    2.272E+09
 1255.0    2.064E+09
 1265.0    2.796E+09
 1275.0    1.508E+09
 1285.0    1.201E+09
 1295.0    1.379E+09
 1305.0    1.200E+10
 1315.0    1.964E+09
 1325.0    1.572E+09
 1335.0    1.449E+10
 1345.0    1.491E+09
 1355.0    3.390E+09
 1365.0    2.137E+09
 1375.0    2.330E+09
 1385.0    2.315E+09
 1395.0    6.108E+09
 1405.0    5.337E+09
 1415.0    3.305E+09
 1425.0    3.594E+09
 1435.0    4.133E+09
 1445.0    4.069E+09
 1455.0    4.377E+09
 1465.0    5.438E+09
 1475.0    6.823E+09
 1485.0    7.030E+09
 1495.0    6.376E+09
 1505.0    7.187E+09
 1515.0    7.862E+09
 1525.0    9.846E+09
 1535.0    1.097E+10
 1545.0    1.865E+10
 1555.0    1.673E+10
 1565.0    1.699E+10
 1575.0    1.520E+10
 1585.0    1.524E+10
 1595.0    1.526E+10
 1605.0    1.720E+10
 1615.0    2.040E+10
 1625.0    2.369E+10
 1635.0    2.546E+10
 1645.0    2.952E+10
 1655.0    4.738E+10
 1665.0    3.261E+10
 1675.0    3.866E+10
 1685.0    4.293E+10
 1695.0    5.691E+10
 1705.0    6.581E+10
 1715.0    6.629E+10
 1725.0    7.313E+10
 1735.0    7.428E+10
 1745.0    9.140E+10
 1755.0    1.124E+11
 1765.0    1.222E+11
 1775.0    1.485E+11
 1785.0    1.663E+11
 1795.0    1.662E+11
 1805.0    2.204E+11
 1815.0    2.609E+11
 1825.0    2.517E+11
 1835.0    2.709E+11
 1845.0    2.359E+11
 1855.0    2.690E+11
 1865.0    3.110E+11
 1875.0    3.500E+11
 1885.0    3.767E+11
 1895.0    4.165E+11
 1905.0    4.315E+11
 1915.0    4.631E+11
 1925.0    4.998E+11
 1935.0    3.949E+11
 1945.0    6.344E+11
 1955.0    6.171E+11
 1965.0    6.954E+11
 1975.0    7.050E+11
 1985.0    7.135E+11
 1995.0    7.763E+11
 2005.0    8.469E+11
 2015.0    9.376E+11
 2025.0    9.324E+11
 2035.0    1.078E+12
 2045.0    1.199E+12
 2055.0    1.243E+12
 2065.0    1.297E+12
 2075.0    1.505E+12
 2085.0    1.748E+12
 2095.0    2.550E+12
 2105.0    3.331E+12
 2115.0    4.051E+12
 2125.0    3.911E+12
 2135.0    3.564E+12
 2145.0    5.106E+12
 2155.0    4.232E+12
 2165.0    4.102E+12
 2175.0    4.003E+12
 2185.0    5.753E+12
 2195.0    6.055E+12
 2205.0    6.031E+12
 2215.0    4.290E+12
 2225.0    6.344E+12
 2235.0    8.091E+12
 2245.0    7.480E+12
 2255.0    6.618E+12
 2265.0    4.670E+12
 2275.0    4.747E+12
 2285.0    6.829E+12
 2295.0    5.821E+12
 2305.0    7.108E+12
 2315.0    6.132E+12
 2325.0    6.615E+12
 2335.0    5.558E+12
 2345.0    4.515E+12
 2355.0    7.287E+12
 2365.0    5.629E+12
 2375.0    6.843E+12
 2385.0    4.702E+12
 2395.0    5.832E+12
 2405.0    5.383E+12
 2415.0    6.347E+12
 2425.0    9.619E+12
 2435.0    8.854E+12
 2445.0    8.499E+12
 2455.0    6.762E+12
 2465.0    6.841E+12
 2475.0    7.947E+12
 2485.0    6.138E+12
 2495.0    7.928E+12
 2505.0    8.361E+12
 2515.0    6.474E+12
 2525.0    5.762E+12
 2535.0    7.458E+12
 2545.0    8.286E+12
 2555.0    1.179E+13
 2565.0    1.417E+13
 2575.0    1.766E+13
 2585.0    1.888E+13
 2595.0    1.572E+13
 2605.0    1.286E+13
 2615.0    1.266E+13
 2625.0    1.614E+13
 2635.0    2.391E+13
 2645.0    3.728E+13
 2655.0    3.903E+13
 2665.0    3.809E+13
 2675.0    3.826E+13
 2685.0    3.859E+13
 2695.0    3.465E+13
 2705.0    4.402E+13
 2715.0    3.664E+13
 2725.0    2.930E+13
 2735.0    3.354E+13
 2745.0    1.964E+13
 2755.0    2.898E+13
 2765.0    3.993E+13
 2775.0    3.995E+13
 2785.0    2.648E+13
 2795.0    1.248E+13
 2805.0    1.465E+13
 2815.0    3.463E+13
 2825.0    4.870E+13
 2835.0    5.460E+13
 2845.0    4.202E+13
 2855.0    2.147E+13
 2865.0    5.698E+13
 2875.0    6.262E+13
 2885.0    5.247E+13
 2895.0    7.886E+13
 2905.0    1.058E+14
 2915.0    9.888E+13
 2925.0    8.641E+13
 2935.0    9.865E+13
 2945.0    8.935E+13
 2955.0    1.009E+14
 2965.0    8.924E+13
 2975.0    9.648E+13
 2985.0    7.124E+13
 2995.0    9.947E+13
