; Average EUVM spectrum over 20161005-20170110 *1.52^2.
; wav (A)   flx (ph cm-2 s-1 nm-1)
  745.0    2.054E+08
  755.0    2.452E+08
  765.0    7.063E+08
  775.0    7.264E+08
  785.0    9.850E+08
  795.0    6.968E+08
  805.0    3.720E+08
  815.0    4.505E+08
  825.0    5.354E+08
  835.0    1.953E+09
  845.0    9.991E+08
  855.0    1.156E+09
  865.0    1.243E+09
  875.0    1.415E+09
  885.0    1.671E+09
  895.0    1.992E+09
  905.0    2.693E+09
  915.0    1.957E+09
  925.0    5.806E+08
  935.0    5.943E+08
  945.0    6.935E+08
  955.0    5.671E+08
  965.0    4.031E+08
  975.0    7.291E+09
  985.0    8.941E+08
  995.0    1.301E+09
 1005.0    6.008E+08
 1015.0    7.948E+08
 1025.0    6.491E+09
 1035.0    5.925E+09
 1045.0    9.594E+08
 1055.0    9.401E+08
 1065.0    1.016E+09
 1075.0    1.183E+09
 1085.0    1.728E+09
