192
; SORCE data for Apr 20, 2015, scaled to 1.54^2*EUVM DD2 irradiances between 1155-1945 A
; Values are as measured at Earth. 
; wave (A)   flux (photons cm-2 s-1 nm-1)
 1085.0    2.164E+09
 1095.0    1.586E+09
 1105.0    1.798E+09
 1115.0    1.723E+09
 1125.0    1.809E+09
 1135.0    1.230E+09
 1145.0    1.445E+09
 1155.0    1.646E+09
 1165.0    1.991E+09
 1175.0    7.359E+09
 1185.0    2.789E+09
 1195.0    4.870E+09
 1205.0    1.583E+10
 1215.0    6.598E+11
 1225.0    6.141E+09
 1235.0    4.025E+09
 1245.0    2.986E+09
 1255.0    2.609E+09
 1265.0    3.889E+09
 1275.0    1.895E+09
 1285.0    1.483E+09
 1295.0    1.842E+09
 1305.0    1.498E+10
 1315.0    2.365E+09
 1325.0    1.927E+09
 1335.0    2.044E+10
 1345.0    1.793E+09
 1355.0    4.070E+09
 1365.0    2.586E+09
 1375.0    2.806E+09
 1385.0    2.721E+09
 1395.0    8.479E+09
 1405.0    6.981E+09
 1415.0    3.935E+09
 1425.0    4.253E+09
 1435.0    4.897E+09
 1445.0    4.875E+09
 1455.0    5.169E+09
 1465.0    6.438E+09
 1475.0    7.987E+09
 1485.0    8.155E+09
 1495.0    7.514E+09
 1505.0    8.399E+09
 1515.0    9.266E+09
 1525.0    1.187E+10
 1535.0    1.331E+10
 1545.0    2.365E+10
 1555.0    2.063E+10
 1565.0    2.016E+10
 1575.0    1.788E+10
 1585.0    1.759E+10
 1595.0    1.740E+10
 1605.0    1.945E+10
 1615.0    2.318E+10
 1625.0    2.695E+10
 1635.0    2.930E+10
 1645.0    3.515E+10
 1655.0    5.499E+10
 1665.0    3.696E+10
 1675.0    4.508E+10
 1685.0    4.815E+10
 1695.0    6.422E+10
 1705.0    7.384E+10
 1715.0    7.547E+10
 1725.0    8.296E+10
 1735.0    8.322E+10
 1745.0    1.018E+11
 1755.0    1.257E+11
 1765.0    1.354E+11
 1775.0    1.658E+11
 1785.0    1.848E+11
 1795.0    1.852E+11
 1805.0    2.490E+11
 1815.0    3.008E+11
 1825.0    2.808E+11
 1835.0    3.025E+11
 1845.0    2.614E+11
 1855.0    3.017E+11
 1865.0    3.492E+11
 1875.0    3.918E+11
 1885.0    4.235E+11
 1895.0    4.672E+11
 1905.0    4.994E+11
 1915.0    5.329E+11
 1925.0    5.772E+11
 1935.0    4.492E+11
 1945.0    7.400E+11
 1955.0    7.201E+11
 1965.0    8.142E+11
 1975.0    8.248E+11
 1985.0    8.297E+11
 1995.0    9.055E+11
 2005.0    9.813E+11
 2015.0    1.086E+12
 2025.0    1.073E+12
 2035.0    1.246E+12
 2045.0    1.390E+12
 2055.0    1.438E+12
 2065.0    1.494E+12
 2075.0    1.735E+12
 2085.0    2.016E+12
 2095.0    2.894E+12
 2105.0    3.768E+12
 2115.0    4.576E+12
 2125.0    4.389E+12
 2135.0    3.989E+12
 2145.0    5.722E+12
 2155.0    4.729E+12
 2165.0    4.587E+12
 2175.0    4.488E+12
 2185.0    6.386E+12
 2195.0    6.763E+12
 2205.0    6.692E+12
 2215.0    4.793E+12
 2225.0    7.018E+12
 2235.0    8.973E+12
 2245.0    8.275E+12
 2255.0    7.347E+12
 2265.0    5.228E+12
 2275.0    5.294E+12
 2285.0    7.558E+12
 2295.0    6.427E+12
 2305.0    7.850E+12
 2315.0    6.766E+12
 2325.0    7.278E+12
 2335.0    6.097E+12
 2345.0    4.945E+12
 2355.0    7.907E+12
 2365.0    6.133E+12
 2375.0    7.411E+12
 2385.0    5.125E+12
 2395.0    6.305E+12
 2405.0    5.847E+12
 2415.0    6.870E+12
 2425.0    1.038E+13
 2435.0    9.615E+12
 2445.0    9.306E+12
 2455.0    7.504E+12
 2465.0    7.612E+12
 2475.0    8.849E+12
 2485.0    6.906E+12
 2495.0    8.867E+12
 2505.0    9.379E+12
 2515.0    7.288E+12
 2525.0    6.463E+12
 2535.0    8.314E+12
 2545.0    9.207E+12
 2555.0    1.298E+13
 2565.0    1.556E+13
 2575.0    1.934E+13
 2585.0    2.055E+13
 2595.0    1.729E+13
 2605.0    1.419E+13
 2615.0    1.392E+13
 2625.0    1.769E+13
 2635.0    2.586E+13
 2645.0    4.028E+13
 2655.0    4.201E+13
 2665.0    4.096E+13
 2675.0    4.119E+13
 2685.0    4.148E+13
 2695.0    3.718E+13
 2705.0    4.706E+13
 2715.0    3.916E+13
 2725.0    3.111E+13
 2735.0    3.579E+13
 2745.0    2.130E+13
 2755.0    3.049E+13
 2765.0    4.207E+13
 2775.0    4.191E+13
 2785.0    2.787E+13
 2795.0    1.371E+13
 2805.0    1.575E+13
 2815.0    3.606E+13
 2825.0    5.021E+13
 2835.0    5.600E+13
 2845.0    4.309E+13
 2855.0    2.196E+13
 2865.0    5.789E+13
 2875.0    6.318E+13
 2885.0    5.266E+13
 2895.0    7.861E+13
 2905.0    1.052E+14
 2915.0    9.830E+13
 2925.0    8.610E+13
 2935.0    9.799E+13
 2945.0    8.907E+13
 2955.0    1.001E+14
 2965.0    8.935E+13
 2975.0    9.608E+13
 2985.0    7.135E+13
 2995.0    1.001E+14
