35
; MAVEN EUVM average during Deep Dip 2
; Values are scaled by *1.52^2 for model. 
; wave (A)   flux (photons cm-2 s-1 nm-1)
  745.0    1.651E+08
  755.0    3.808E+08
  765.0    1.037E+09
  775.0    1.068E+09
  785.0    1.534E+09
  795.0    1.162E+09
  805.0    7.167E+08
  815.0    8.671E+08
  825.0    1.117E+09
  835.0    2.637E+09
  845.0    1.492E+09
  855.0    1.720E+09
  865.0    1.915E+09
  875.0    2.188E+09
  885.0    2.689E+09
  895.0    3.258E+09
  905.0    4.037E+09
  915.0    3.071E+09
  925.0    8.322E+08
  935.0    9.258E+08
  945.0    7.088E+08
  955.0    3.311E+08
  965.0    3.307E+07
  975.0    1.053E+10
  985.0    3.454E+08
  995.0    9.701E+08
 1005.0    1.061E+08
 1015.0    2.243E+08
 1025.0    7.405E+09
 1035.0    7.706E+09
 1045.0    2.222E+08
 1055.0    2.809E+08
 1065.0    1.225E+09
 1075.0    1.400E+09
 1085.0    2.164E+09
