; High solar activity reference from solar maximum over Jan 1979 to 1982 Jan (solar cycle 21). Stitched from FISM (1-115 nm) and NRLSSI2 (115-2398 nm). 
; wav (A)   flx (ph cm-2 s-1 nm-1)
    5.0    4.962E+06
   15.0    1.980E+08
   25.0    9.619E+07
   35.0    6.839E+07
   45.0    1.656E+08
   55.0    1.750E+08
   65.0    2.608E+08
   75.0    1.451E+08
   85.0    1.132E+08
   95.0    1.423E+08
  105.0    1.026E+08
  115.0    7.738E+07
  125.0    6.079E+07
  135.0    9.960E+07
  145.0    7.608E+07
  155.0    5.001E+08
  165.0    9.710E+08
  175.0    2.901E+09
  185.0    2.436E+09
  195.0    1.783E+09
  205.0    1.774E+09
  215.0    1.785E+09
  225.0    1.116E+09
  235.0    5.650E+08
  245.0    7.738E+08
  255.0    1.462E+09
  265.0    7.906E+08
  275.0    2.931E+09
  285.0    4.616E+09
  295.0    2.328E+09
  305.0    8.552E+09
  315.0    1.679E+09
  325.0    1.218E+09
  335.0    2.617E+09
  345.0    1.541E+09
  355.0    1.506E+09
  365.0    1.631E+09
  375.0    4.351E+08
  385.0    2.525E+08
  395.0    1.875E+08
  405.0    2.126E+08
  415.0    3.245E+08
  425.0    1.605E+08
  435.0    2.029E+08
  445.0    2.313E+08
  455.0    1.822E+08
  465.0    3.333E+08
  475.0    2.395E+08
  485.0    3.976E+08
  495.0    7.880E+08
  505.0    7.134E+08
  515.0    3.330E+08
  525.0    4.108E+08
  535.0    2.338E+08
  545.0    1.761E+08
  555.0    1.735E+09
  565.0    2.043E+08
  575.0    2.153E+08
  585.0    1.677E+09
  595.0    2.631E+08
  605.0    8.131E+08
  615.0    6.526E+08
  625.0    1.347E+09
  635.0    1.102E+09
  645.0    1.641E+08
  655.0    1.502E+08
  665.0    1.689E+08
  675.0    1.421E+08
  685.0    2.329E+08
  695.0    2.246E+08
  705.0    3.997E+08
  715.0    1.881E+08
  725.0    2.266E+08
  735.0    1.326E+08
  745.0    1.807E+08
