; High solar activity reference from solar maximum over Jan 1979 to 1982 Jan (solar cycle 21). Stitched from FISM (1-115 nm) and NRLSSI2 (115-2398 nm). *1.52^2/1.6660^2 for aphelion
; wav (A)   flx (ph cm-2 s-1 nm-1)
    5.0    4.130E+06
   15.0    1.648E+08
   25.0    8.007E+07
   35.0    5.693E+07
   45.0    1.378E+08
   55.0    1.457E+08
   65.0    2.171E+08
   75.0    1.208E+08
   85.0    9.423E+07
   95.0    1.185E+08
  105.0    8.541E+07
  115.0    6.441E+07
  125.0    5.060E+07
  135.0    8.291E+07
  145.0    6.333E+07
  155.0    4.163E+08
  165.0    8.083E+08
  175.0    2.415E+09
  185.0    2.028E+09
  195.0    1.484E+09
  205.0    1.477E+09
  215.0    1.486E+09
  225.0    9.290E+08
  235.0    4.703E+08
  245.0    6.441E+08
  255.0    1.217E+09
  265.0    6.581E+08
  275.0    2.440E+09
  285.0    3.842E+09
  295.0    1.938E+09
  305.0    7.119E+09
  315.0    1.398E+09
  325.0    1.014E+09
  335.0    2.178E+09
  345.0    1.283E+09
  355.0    1.254E+09
  365.0    1.358E+09
  375.0    3.622E+08
  385.0    2.102E+08
  395.0    1.561E+08
  405.0    1.770E+08
  415.0    2.701E+08
  425.0    1.336E+08
  435.0    1.689E+08
  445.0    1.925E+08
  455.0    1.517E+08
  465.0    2.774E+08
  475.0    1.994E+08
  485.0    3.310E+08
  495.0    6.559E+08
  505.0    5.938E+08
  515.0    2.772E+08
  525.0    3.420E+08
  535.0    1.946E+08
  545.0    1.466E+08
  555.0    1.444E+09
  565.0    1.701E+08
  575.0    1.792E+08
  585.0    1.396E+09
  595.0    2.190E+08
  605.0    6.768E+08
  615.0    5.432E+08
  625.0    1.121E+09
  635.0    9.173E+08
  645.0    1.366E+08
  655.0    1.250E+08
  665.0    1.406E+08
  675.0    1.183E+08
  685.0    1.939E+08
  695.0    1.870E+08
  705.0    3.327E+08
  715.0    1.566E+08
  725.0    1.886E+08
  735.0    1.104E+08
  745.0    1.504E+08
