; High solar activity reference from solar maximum over Jan 1979 to 1982 Jan (solar cycle 21). Stitched from FISM (1-115 nm) and NRLSSI2 (115-2398 nm). *1.52^2/1.3814^2 for perihelion
; wav (A)   flx (ph cm-2 s-1 nm-1)
 1085.0    2.879E+09
 1095.0    2.053E+09
 1105.0    2.182E+09
 1115.0    2.144E+09
 1125.0    2.289E+09
 1135.0    1.588E+09
 1145.0    6.006E+08
 1155.0    1.340E+09
 1165.0    1.947E+09
 1175.0    7.032E+09
 1185.0    2.806E+09
 1195.0    4.914E+09
 1205.0    1.656E+10
 1215.0    6.624E+11
 1225.0    6.134E+09
 1235.0    3.871E+09
 1245.0    2.845E+09
 1255.0    2.561E+09
 1265.0    3.980E+09
 1275.0    1.867E+09
 1285.0    1.444E+09
 1295.0    1.788E+09
 1305.0    1.486E+10
 1315.0    2.248E+09
 1325.0    1.872E+09
 1335.0    2.023E+10
 1345.0    1.751E+09
 1355.0    3.914E+09
 1365.0    2.545E+09
 1375.0    2.729E+09
 1385.0    2.689E+09
 1395.0    8.313E+09
 1405.0    6.784E+09
 1415.0    3.851E+09
 1425.0    4.103E+09
 1435.0    4.744E+09
 1445.0    4.683E+09
 1455.0    4.991E+09
 1465.0    6.210E+09
 1475.0    7.554E+09
 1485.0    7.854E+09
 1495.0    7.200E+09
 1505.0    8.089E+09
 1515.0    8.817E+09
 1525.0    1.153E+10
 1535.0    1.282E+10
 1545.0    2.189E+10
 1555.0    1.921E+10
 1565.0    1.927E+10
 1575.0    1.718E+10
 1585.0    1.716E+10
 1595.0    1.697E+10
 1605.0    1.919E+10
 1615.0    2.264E+10
 1625.0    2.631E+10
 1635.0    2.861E+10
 1645.0    3.382E+10
 1655.0    5.308E+10
 1665.0    3.537E+10
 1675.0    4.401E+10
 1685.0    4.666E+10
 1695.0    6.227E+10
 1705.0    7.267E+10
 1715.0    7.411E+10
 1725.0    8.142E+10
 1735.0    8.185E+10
 1745.0    1.006E+11
 1755.0    1.235E+11
 1765.0    1.338E+11
 1775.0    1.644E+11
 1785.0    1.832E+11
 1795.0    1.834E+11
 1805.0    2.345E+11
 1815.0    2.874E+11
 1825.0    2.685E+11
 1835.0    2.891E+11
 1845.0    2.524E+11
 1855.0    2.888E+11
 1865.0    3.342E+11
 1875.0    3.745E+11
 1885.0    4.024E+11
 1895.0    4.442E+11
 1905.0    4.689E+11
 1915.0    5.049E+11
 1925.0    5.443E+11
 1935.0    4.253E+11
 1945.0    6.914E+11
 1955.0    6.727E+11
 1965.0    7.548E+11
 1975.0    7.646E+11
 1985.0    7.681E+11
 1995.0    8.364E+11
 2005.0    9.118E+11
 2015.0    1.012E+12
 2025.0    1.002E+12
 2035.0    1.161E+12
 2045.0    1.295E+12
 2055.0    1.343E+12
 2065.0    1.401E+12
 2075.0    1.631E+12
 2085.0    1.868E+12
 2095.0    2.671E+12
 2105.0    3.463E+12
 2115.0    4.194E+12
 2125.0    4.058E+12
 2135.0    3.693E+12
 2145.0    5.278E+12
 2155.0    4.393E+12
 2165.0    4.261E+12
 2175.0    4.159E+12
 2185.0    5.959E+12
 2195.0    6.281E+12
 2205.0    6.238E+12
 2215.0    4.459E+12
 2225.0    6.540E+12
 2235.0    8.340E+12
 2245.0    7.699E+12
 2255.0    6.836E+12
 2265.0    4.872E+12
 2275.0    4.929E+12
 2285.0    7.057E+12
 2295.0    5.991E+12
 2305.0    7.336E+12
 2315.0    6.338E+12
 2325.0    6.826E+12
 2335.0    5.747E+12
 2345.0    4.679E+12
 2355.0    7.504E+12
 2365.0    5.836E+12
 2375.0    7.068E+12
 2385.0    4.900E+12
 2395.0    6.031E+12
 2405.0    5.568E+12
 2415.0    6.546E+12
 2425.0    9.865E+12
 2435.0    9.082E+12
 2445.0    8.746E+12
 2455.0    6.990E+12
 2465.0    7.045E+12
 2475.0    8.183E+12
 2485.0    6.371E+12
 2495.0    8.175E+12
 2505.0    8.629E+12
 2515.0    6.706E+12
 2525.0    5.948E+12
 2535.0    7.671E+12
 2545.0    8.490E+12
 2555.0    1.204E+13
 2565.0    1.441E+13
 2575.0    1.792E+13
 2585.0    1.917E+13
 2595.0    1.603E+13
 2605.0    1.316E+13
 2615.0    1.299E+13
 2625.0    1.651E+13
 2635.0    2.420E+13
 2645.0    3.767E+13
 2655.0    3.942E+13
 2665.0    3.834E+13
 2675.0    3.857E+13
 2685.0    3.893E+13
 2695.0    3.492E+13
 2705.0    4.431E+13
 2715.0    3.690E+13
 2725.0    2.965E+13
 2735.0    3.386E+13
 2745.0    1.996E+13
 2755.0    2.925E+13
 2765.0    4.018E+13
 2775.0    4.026E+13
 2785.0    2.683E+13
 2795.0    1.345E+13
 2805.0    1.545E+13
 2815.0    3.504E+13
 2825.0    4.911E+13
 2835.0    5.494E+13
 2845.0    4.246E+13
 2855.0    2.194E+13
 2865.0    5.734E+13
 2875.0    6.287E+13
 2885.0    5.285E+13
 2895.0    7.901E+13
 2905.0    1.060E+14
 2915.0    9.920E+13
 2925.0    8.664E+13
 2935.0    9.900E+13
 2945.0    8.970E+13
 2955.0    1.013E+14
 2965.0    8.973E+13
 2975.0    9.696E+13
 2985.0    7.175E+13
 2995.0    1.002E+14
