35
; High solar activity reference based on solar maximum over 1979 Jan to 1982 Jan (solar cycle 21). Stitched from FISM (1-115 nm) and NRLSSI2 (115-2398 nm). 
; Values are as measured at Earth, but scaled *1.52^2/1.3814^2 for perihelion.
; wave (A)   flux (photons cm-2 s-1 nm-1)
  745.0    2.188E+08
  755.0    2.896E+08
  765.0    6.762E+08
  775.0    8.132E+08
  785.0    9.485E+08
  795.0    7.479E+08
  805.0    6.388E+08
  815.0    6.887E+08
  825.0    8.660E+08
  835.0    2.035E+09
  845.0    1.274E+09
  855.0    1.609E+09
  865.0    1.867E+09
  875.0    2.312E+09
  885.0    2.811E+09
  895.0    3.328E+09
  905.0    4.202E+09
  915.0    3.510E+09
  925.0    1.138E+09
  935.0    1.192E+09
  945.0    8.785E+08
  955.0    7.297E+08
  965.0    5.390E+08
  975.0    1.048E+10
  985.0    1.100E+09
  995.0    1.775E+09
 1005.0    9.961E+08
 1015.0    1.066E+09
 1025.0    9.831E+09
 1035.0    7.906E+09
 1045.0    1.581E+09
 1055.0    1.282E+09
 1065.0    1.555E+09
 1075.0    1.752E+09
 1085.0    2.879E+09
