35
; Whole Heliosphere Interval reference solar spectrum for low solar activity.
; Values are as measured at Earth. 
; wave (A)   flux (photons cm-2 s-1 nm-1)
  745.0    1.651E+08
  755.0    2.451E+08
  765.0    7.461E+08
  775.0    6.718E+08
  785.0    1.005E+09
  795.0    6.646E+08
  805.0    3.750E+08
  815.0    4.545E+08
  825.0    5.243E+08
  835.0    1.591E+09
  845.0    7.577E+08
  855.0    9.011E+08
  865.0    1.029E+09
  875.0    1.165E+09
  885.0    1.382E+09
  895.0    1.645E+09
  905.0    2.116E+09
  915.0    1.592E+09
  925.0    4.935E+08
  935.0    5.633E+08
  945.0    4.422E+08
  955.0    2.631E+08
  965.0    1.228E+08
  975.0    5.815E+09
  985.0    3.256E+08
  995.0    6.260E+08
 1005.0    2.023E+08
 1015.0    2.452E+08
 1025.0    3.533E+09
 1035.0    3.875E+09
 1045.0    2.939E+08
 1055.0    3.049E+08
 1065.0    3.490E+08
 1075.0    4.650E+08
 1085.0    8.606E+08
