192
; Whole Heliosphere Interval reference solar spectrum for low solar activity.
; Values are as measured at Earth, but scaled *1.52^2/1.6660^2 for Mars aphelion. 
; wave (A)   flux (photons cm-2 s-1 nm-1)
 1085.0    7.164E+08
 1095.0    4.816E+08
 1105.0    6.328E+08
 1115.0    6.037E+08
 1125.0    6.692E+08
 1135.0    3.766E+08
 1145.0    4.924E+08
 1155.0    6.517E+08
 1165.0    1.152E+09
 1175.0    3.728E+09
 1185.0    1.551E+09
 1195.0    2.505E+09
 1205.0    6.862E+09
 1215.0    2.978E+11
 1225.0    3.156E+09
 1235.0    2.018E+09
 1245.0    1.474E+09
 1255.0    1.367E+09
 1265.0    1.810E+09
 1275.0    1.021E+09
 1285.0    8.021E+08
 1295.0    9.023E+08
 1305.0    7.829E+09
 1315.0    1.312E+09
 1325.0    1.055E+09
 1335.0    9.240E+09
 1345.0    9.997E+08
 1355.0    2.298E+09
 1365.0    1.444E+09
 1375.0    1.574E+09
 1385.0    1.570E+09
 1395.0    3.881E+09
 1405.0    3.473E+09
 1415.0    2.248E+09
 1425.0    2.438E+09
 1435.0    2.798E+09
 1445.0    2.758E+09
 1455.0    2.957E+09
 1465.0    3.671E+09
 1475.0    4.628E+09
 1485.0    4.759E+09
 1495.0    4.309E+09
 1505.0    4.868E+09
 1515.0    5.282E+09
 1525.0    6.623E+09
 1535.0    7.362E+09
 1545.0    1.226E+10
 1555.0    1.104E+10
 1565.0    1.141E+10
 1575.0    1.025E+10
 1585.0    1.033E+10
 1595.0    1.042E+10
 1605.0    1.166E+10
 1615.0    1.375E+10
 1625.0    1.589E+10
 1635.0    1.704E+10
 1645.0    1.973E+10
 1655.0    3.160E+10
 1665.0    2.198E+10
 1675.0    2.578E+10
 1685.0    2.901E+10
 1695.0    3.869E+10
 1705.0    4.488E+10
 1715.0    4.539E+10
 1725.0    5.011E+10
 1735.0    5.100E+10
 1745.0    6.271E+10
 1755.0    7.685E+10
 1765.0    8.382E+10
 1775.0    1.016E+11
 1785.0    1.138E+11
 1795.0    1.135E+11
 1805.0    1.433E+11
 1815.0    1.717E+11
 1825.0    1.683E+11
 1835.0    1.812E+11
 1845.0    1.600E+11
 1855.0    1.829E+11
 1865.0    2.107E+11
 1875.0    2.363E+11
 1885.0    2.536E+11
 1895.0    2.789E+11
 1905.0    2.967E+11
 1915.0    3.184E+11
 1925.0    3.436E+11
 1935.0    2.715E+11
 1945.0    4.362E+11
 1955.0    4.243E+11
 1965.0    4.781E+11
 1975.0    4.847E+11
 1985.0    4.905E+11
 1995.0    5.337E+11
 2005.0    5.823E+11
 2015.0    6.446E+11
 2025.0    6.410E+11
 2035.0    7.413E+11
 2045.0    8.244E+11
 2055.0    8.549E+11
 2065.0    8.915E+11
 2075.0    1.035E+12
 2085.0    1.202E+12
 2095.0    1.753E+12
 2105.0    2.290E+12
 2115.0    2.785E+12
 2125.0    2.689E+12
 2135.0    2.451E+12
 2145.0    3.510E+12
 2155.0    2.909E+12
 2165.0    2.820E+12
 2175.0    2.752E+12
 2185.0    3.956E+12
 2195.0    4.163E+12
 2205.0    4.146E+12
 2215.0    2.949E+12
 2225.0    4.362E+12
 2235.0    5.563E+12
 2245.0    5.143E+12
 2255.0    4.550E+12
 2265.0    3.211E+12
 2275.0    3.264E+12
 2285.0    4.695E+12
 2295.0    4.002E+12
 2305.0    4.887E+12
 2315.0    4.216E+12
 2325.0    4.548E+12
 2335.0    3.822E+12
 2345.0    3.104E+12
 2355.0    5.010E+12
 2365.0    3.870E+12
 2375.0    4.705E+12
 2385.0    3.233E+12
 2395.0    4.010E+12
 2405.0    3.701E+12
 2415.0    4.363E+12
 2425.0    6.613E+12
 2435.0    6.087E+12
 2445.0    5.844E+12
 2455.0    4.649E+12
 2465.0    4.703E+12
 2475.0    5.464E+12
 2485.0    4.220E+12
 2495.0    5.451E+12
 2505.0    5.749E+12
 2515.0    4.451E+12
 2525.0    3.961E+12
 2535.0    5.128E+12
 2545.0    5.697E+12
 2555.0    8.103E+12
 2565.0    9.739E+12
 2575.0    1.214E+13
 2585.0    1.298E+13
 2595.0    1.080E+13
 2605.0    8.840E+12
 2615.0    8.707E+12
 2625.0    1.110E+13
 2635.0    1.644E+13
 2645.0    2.563E+13
 2655.0    2.684E+13
 2665.0    2.619E+13
 2675.0    2.630E+13
 2685.0    2.653E+13
 2695.0    2.382E+13
 2705.0    3.027E+13
 2715.0    2.519E+13
 2725.0    2.014E+13
 2735.0    2.306E+13
 2745.0    1.350E+13
 2755.0    1.993E+13
 2765.0    2.745E+13
 2775.0    2.747E+13
 2785.0    1.820E+13
 2795.0    8.582E+12
 2805.0    1.007E+13
 2815.0    2.381E+13
 2825.0    3.348E+13
 2835.0    3.754E+13
 2845.0    2.889E+13
 2855.0    1.476E+13
 2865.0    3.917E+13
 2875.0    4.305E+13
 2885.0    3.608E+13
 2895.0    5.421E+13
 2905.0    7.274E+13
 2915.0    6.798E+13
 2925.0    5.941E+13
 2935.0    6.782E+13
 2945.0    6.143E+13
 2955.0    6.935E+13
 2965.0    6.136E+13
 2975.0    6.633E+13
 2985.0    4.898E+13
 2995.0    6.839E+13
