75
; Whole Heliosphere Interval reference solar spectrum for low solar activity.
; Values are as measured at Earth, but scaled *1.52^2/1.3814^2 for perihelion.
; wave (A)   flux (photons cm-2 s-1 nm-1)
    5.0    2.332E+05
   15.0    1.223E+07
   25.0    2.207E+07
   35.0    1.661E+07
   45.0    5.650E+07
   55.0    6.235E+07
   65.0    8.042E+07
   75.0    1.034E+08
   85.0    1.150E+08
   95.0    1.222E+08
  105.0    1.053E+08
  115.0    8.995E+07
  125.0    4.696E+07
  135.0    5.968E+07
  145.0    1.269E+08
  155.0    9.255E+07
  165.0    2.138E+08
  175.0    2.045E+09
  185.0    1.216E+09
  195.0    7.326E+08
  205.0    3.955E+08
  215.0    3.447E+08
  225.0    6.944E+08
  235.0    4.434E+08
  245.0    5.290E+08
  255.0    8.580E+08
  265.0    1.558E+08
  275.0    3.001E+08
  285.0    1.204E+08
  295.0    2.104E+08
  305.0    7.681E+09
  315.0    5.879E+08
  325.0    1.314E+08
  335.0    1.627E+08
  345.0    5.517E+08
  355.0    3.263E+08
  365.0    8.038E+08
  375.0    1.110E+08
  385.0    6.824E+07
  395.0    6.678E+07
  405.0    1.417E+08
  415.0    8.797E+07
  425.0    7.399E+07
  435.0    3.422E+08
  445.0    8.905E+07
  455.0    9.607E+07
  465.0    5.330E+08
  475.0    1.323E+08
  485.0    2.909E+08
  495.0    4.169E+08
  505.0    5.468E+08
  515.0    9.926E+07
  525.0    1.758E+08
  535.0    3.027E+08
  545.0    9.567E+07
  555.0    1.039E+09
  565.0    1.742E+08
  575.0    1.079E+08
  585.0    1.793E+09
  595.0    2.165E+08
  605.0    6.038E+08
  615.0    2.723E+08
  625.0    2.015E+09
  635.0    7.074E+08
  645.0    5.589E+07
  655.0    7.102E+07
  665.0    9.890E+07
  675.0    8.146E+07
  685.0    2.814E+08
  695.0    1.280E+08
  705.0    6.190E+08
  715.0    1.934E+08
  725.0    1.331E+08
  735.0    1.481E+08
  745.0    1.999E+08
