; Whole Heliosphere Interval reference solar spectrum for low solar activity, *1.52^2/1.3814^2 for perihelion
; wav (A)   flx (ph cm-2 s-1 nm-1)
 1085.0    1.042E+09
 1095.0    7.005E+08
 1105.0    9.204E+08
 1115.0    8.780E+08
 1125.0    9.733E+08
 1135.0    5.477E+08
 1145.0    7.161E+08
 1155.0    9.479E+08
 1165.0    1.676E+09
 1175.0    5.423E+09
 1185.0    2.256E+09
 1195.0    3.643E+09
 1205.0    9.981E+09
 1215.0    4.331E+11
 1225.0    4.591E+09
 1235.0    2.935E+09
 1245.0    2.144E+09
 1255.0    1.988E+09
 1265.0    2.632E+09
 1275.0    1.486E+09
 1285.0    1.167E+09
 1295.0    1.312E+09
 1305.0    1.139E+10
 1315.0    1.908E+09
 1325.0    1.535E+09
 1335.0    1.344E+10
 1345.0    1.454E+09
 1355.0    3.343E+09
 1365.0    2.101E+09
 1375.0    2.289E+09
 1385.0    2.283E+09
 1395.0    5.644E+09
 1405.0    5.051E+09
 1415.0    3.269E+09
 1425.0    3.546E+09
 1435.0    4.069E+09
 1445.0    4.011E+09
 1455.0    4.301E+09
 1465.0    5.339E+09
 1475.0    6.732E+09
 1485.0    6.922E+09
 1495.0    6.268E+09
 1505.0    7.080E+09
 1515.0    7.683E+09
 1525.0    9.633E+09
 1535.0    1.071E+10
 1545.0    1.783E+10
 1555.0    1.605E+10
 1565.0    1.660E+10
 1575.0    1.490E+10
 1585.0    1.503E+10
 1595.0    1.516E+10
 1605.0    1.696E+10
 1615.0    2.000E+10
 1625.0    2.311E+10
 1635.0    2.478E+10
 1645.0    2.869E+10
 1655.0    4.596E+10
 1665.0    3.198E+10
 1675.0    3.750E+10
 1685.0    4.219E+10
 1695.0    5.627E+10
 1705.0    6.528E+10
 1715.0    6.602E+10
 1725.0    7.289E+10
 1735.0    7.418E+10
 1745.0    9.122E+10
 1755.0    1.118E+11
 1765.0    1.219E+11
 1775.0    1.478E+11
 1785.0    1.655E+11
 1795.0    1.650E+11
 1805.0    2.084E+11
 1815.0    2.498E+11
 1825.0    2.448E+11
 1835.0    2.636E+11
 1845.0    2.327E+11
 1855.0    2.660E+11
 1865.0    3.064E+11
 1875.0    3.437E+11
 1885.0    3.688E+11
 1895.0    4.057E+11
 1905.0    4.315E+11
 1915.0    4.631E+11
 1925.0    4.998E+11
 1935.0    3.949E+11
 1945.0    6.344E+11
 1955.0    6.171E+11
 1965.0    6.954E+11
 1975.0    7.050E+11
 1985.0    7.135E+11
 1995.0    7.763E+11
 2005.0    8.469E+11
 2015.0    9.376E+11
 2025.0    9.324E+11
 2035.0    1.078E+12
 2045.0    1.199E+12
 2055.0    1.243E+12
 2065.0    1.297E+12
 2075.0    1.505E+12
 2085.0    1.748E+12
 2095.0    2.550E+12
 2105.0    3.331E+12
 2115.0    4.051E+12
 2125.0    3.911E+12
 2135.0    3.564E+12
 2145.0    5.106E+12
 2155.0    4.232E+12
 2165.0    4.102E+12
 2175.0    4.003E+12
 2185.0    5.753E+12
 2195.0    6.055E+12
 2205.0    6.031E+12
 2215.0    4.290E+12
 2225.0    6.344E+12
 2235.0    8.091E+12
 2245.0    7.480E+12
 2255.0    6.618E+12
 2265.0    4.670E+12
 2275.0    4.747E+12
 2285.0    6.829E+12
 2295.0    5.821E+12
 2305.0    7.108E+12
 2315.0    6.132E+12
 2325.0    6.615E+12
 2335.0    5.558E+12
 2345.0    4.515E+12
 2355.0    7.287E+12
 2365.0    5.629E+12
 2375.0    6.843E+12
 2385.0    4.702E+12
 2395.0    5.832E+12
 2405.0    5.383E+12
 2415.0    6.347E+12
 2425.0    9.619E+12
 2435.0    8.854E+12
 2445.0    8.499E+12
 2455.0    6.762E+12
 2465.0    6.841E+12
 2475.0    7.947E+12
 2485.0    6.138E+12
 2495.0    7.928E+12
 2505.0    8.361E+12
 2515.0    6.474E+12
 2525.0    5.762E+12
 2535.0    7.458E+12
 2545.0    8.286E+12
 2555.0    1.179E+13
 2565.0    1.417E+13
 2575.0    1.766E+13
 2585.0    1.888E+13
 2595.0    1.572E+13
 2605.0    1.286E+13
 2615.0    1.266E+13
 2625.0    1.614E+13
 2635.0    2.391E+13
 2645.0    3.728E+13
 2655.0    3.903E+13
 2665.0    3.809E+13
 2675.0    3.826E+13
 2685.0    3.859E+13
 2695.0    3.465E+13
 2705.0    4.402E+13
 2715.0    3.664E+13
 2725.0    2.930E+13
 2735.0    3.354E+13
 2745.0    1.964E+13
 2755.0    2.898E+13
 2765.0    3.993E+13
 2775.0    3.995E+13
 2785.0    2.648E+13
 2795.0    1.248E+13
 2805.0    1.465E+13
 2815.0    3.463E+13
 2825.0    4.870E+13
 2835.0    5.460E+13
 2845.0    4.202E+13
 2855.0    2.147E+13
 2865.0    5.698E+13
 2875.0    6.262E+13
 2885.0    5.247E+13
 2895.0    7.886E+13
 2905.0    1.058E+14
 2915.0    9.888E+13
 2925.0    8.641E+13
 2935.0    9.865E+13
 2945.0    8.935E+13
 2955.0    1.009E+14
 2965.0    8.924E+13
 2975.0    9.648E+13
 2985.0    7.124E+13
 2995.0    9.947E+13
