75
; Whole Heliosphere Interval reference solar spectrum for low solar activity.
; Values are as measured at Earth, but scaled *1.52^2/1.6660^2 for Mars aphelion. 
; wave (A)   flux (photons cm-2 s-1 nm-1)
    5.0    1.603E+05
   15.0    8.407E+06
   25.0    1.517E+07
   35.0    1.142E+07
   45.0    3.885E+07
   55.0    4.287E+07
   65.0    5.529E+07
   75.0    7.106E+07
   85.0    7.907E+07
   95.0    8.399E+07
  105.0    7.238E+07
  115.0    6.184E+07
  125.0    3.229E+07
  135.0    4.103E+07
  145.0    8.724E+07
  155.0    6.363E+07
  165.0    1.470E+08
  175.0    1.406E+09
  185.0    8.357E+08
  195.0    5.037E+08
  205.0    2.719E+08
  215.0    2.370E+08
  225.0    4.774E+08
  235.0    3.048E+08
  245.0    3.637E+08
  255.0    5.899E+08
  265.0    1.071E+08
  275.0    2.064E+08
  285.0    8.278E+07
  295.0    1.447E+08
  305.0    5.281E+09
  315.0    4.042E+08
  325.0    9.032E+07
  335.0    1.119E+08
  345.0    3.793E+08
  355.0    2.243E+08
  365.0    5.526E+08
  375.0    7.632E+07
  385.0    4.691E+07
  395.0    4.592E+07
  405.0    9.739E+07
  415.0    6.048E+07
  425.0    5.087E+07
  435.0    2.352E+08
  445.0    6.122E+07
  455.0    6.605E+07
  465.0    3.664E+08
  475.0    9.098E+07
  485.0    2.000E+08
  495.0    2.866E+08
  505.0    3.759E+08
  515.0    6.824E+07
  525.0    1.209E+08
  535.0    2.081E+08
  545.0    6.578E+07
  555.0    7.143E+08
  565.0    1.198E+08
  575.0    7.419E+07
  585.0    1.233E+09
  595.0    1.488E+08
  605.0    4.151E+08
  615.0    1.872E+08
  625.0    1.385E+09
  635.0    4.864E+08
  645.0    3.842E+07
  655.0    4.883E+07
  665.0    6.800E+07
  675.0    5.600E+07
  685.0    1.935E+08
  695.0    8.799E+07
  705.0    4.256E+08
  715.0    1.329E+08
  725.0    9.148E+07
  735.0    1.018E+08
  745.0    1.374E+08
