35
; Whole Heliosphere Interval reference solar spectrum for low solar activity.
; Values are as measured at Earth, but scaled *1.52^2/1.6660^2 for Mars aphelion. 
; wave (A)   flux (photons cm-2 s-1 nm-1)
  745.0    1.374E+08
  755.0    2.040E+08
  765.0    6.211E+08
  775.0    5.592E+08
  785.0    8.366E+08
  795.0    5.532E+08
  805.0    3.122E+08
  815.0    3.783E+08
  825.0    4.364E+08
  835.0    1.324E+09
  845.0    6.307E+08
  855.0    7.501E+08
  865.0    8.565E+08
  875.0    9.698E+08
  885.0    1.150E+09
  895.0    1.369E+09
  905.0    1.761E+09
  915.0    1.325E+09
  925.0    4.108E+08
  935.0    4.689E+08
  945.0    3.681E+08
  955.0    2.190E+08
  965.0    1.022E+08
  975.0    4.840E+09
  985.0    2.710E+08
  995.0    5.211E+08
 1005.0    1.684E+08
 1015.0    2.041E+08
 1025.0    2.941E+09
 1035.0    3.226E+09
 1045.0    2.446E+08
 1055.0    2.538E+08
 1065.0    2.905E+08
 1075.0    3.871E+08
 1085.0    7.164E+08
