; High solar activity reference from solar maximum over Jan 1979 to 1982 Jan (solar cycle 21). Stitched from FISM (1-115 nm) and NRLSSI2 (115-2398 nm). *1.52^2/1.6660^2 for aphelion
; wav (A)   flx (ph cm-2 s-1 nm-1)
 1085.0    1.979E+09
 1095.0    1.412E+09
 1105.0    1.500E+09
 1115.0    1.474E+09
 1125.0    1.574E+09
 1135.0    1.092E+09
 1145.0    4.130E+08
 1155.0    9.215E+08
 1165.0    1.339E+09
 1175.0    4.835E+09
 1185.0    1.930E+09
 1195.0    3.379E+09
 1205.0    1.139E+10
 1215.0    4.554E+11
 1225.0    4.217E+09
 1235.0    2.661E+09
 1245.0    1.956E+09
 1255.0    1.761E+09
 1265.0    2.736E+09
 1275.0    1.284E+09
 1285.0    9.931E+08
 1295.0    1.229E+09
 1305.0    1.021E+10
 1315.0    1.546E+09
 1325.0    1.287E+09
 1335.0    1.391E+10
 1345.0    1.204E+09
 1355.0    2.691E+09
 1365.0    1.750E+09
 1375.0    1.876E+09
 1385.0    1.849E+09
 1395.0    5.715E+09
 1405.0    4.664E+09
 1415.0    2.648E+09
 1425.0    2.821E+09
 1435.0    3.261E+09
 1445.0    3.220E+09
 1455.0    3.431E+09
 1465.0    4.269E+09
 1475.0    5.193E+09
 1485.0    5.400E+09
 1495.0    4.950E+09
 1505.0    5.561E+09
 1515.0    6.062E+09
 1525.0    7.928E+09
 1535.0    8.815E+09
 1545.0    1.505E+10
 1555.0    1.321E+10
 1565.0    1.325E+10
 1575.0    1.181E+10
 1585.0    1.180E+10
 1595.0    1.167E+10
 1605.0    1.319E+10
 1615.0    1.557E+10
 1625.0    1.809E+10
 1635.0    1.967E+10
 1645.0    2.325E+10
 1655.0    3.649E+10
 1665.0    2.431E+10
 1675.0    3.026E+10
 1685.0    3.208E+10
 1695.0    4.281E+10
 1705.0    4.996E+10
 1715.0    5.095E+10
 1725.0    5.598E+10
 1735.0    5.627E+10
 1745.0    6.919E+10
 1755.0    8.491E+10
 1765.0    9.198E+10
 1775.0    1.130E+11
 1785.0    1.259E+11
 1795.0    1.261E+11
 1805.0    1.612E+11
 1815.0    1.976E+11
 1825.0    1.846E+11
 1835.0    1.988E+11
 1845.0    1.736E+11
 1855.0    1.985E+11
 1865.0    2.297E+11
 1875.0    2.575E+11
 1885.0    2.767E+11
 1895.0    3.054E+11
 1905.0    3.224E+11
 1915.0    3.471E+11
 1925.0    3.743E+11
 1935.0    2.924E+11
 1945.0    4.754E+11
 1955.0    4.625E+11
 1965.0    5.189E+11
 1975.0    5.257E+11
 1985.0    5.281E+11
 1995.0    5.750E+11
 2005.0    6.269E+11
 2015.0    6.955E+11
 2025.0    6.889E+11
 2035.0    7.982E+11
 2045.0    8.907E+11
 2055.0    9.231E+11
 2065.0    9.631E+11
 2075.0    1.121E+12
 2085.0    1.284E+12
 2095.0    1.836E+12
 2105.0    2.381E+12
 2115.0    2.883E+12
 2125.0    2.790E+12
 2135.0    2.539E+12
 2145.0    3.628E+12
 2155.0    3.020E+12
 2165.0    2.929E+12
 2175.0    2.859E+12
 2185.0    4.097E+12
 2195.0    4.319E+12
 2205.0    4.289E+12
 2215.0    3.066E+12
 2225.0    4.497E+12
 2235.0    5.734E+12
 2245.0    5.293E+12
 2255.0    4.700E+12
 2265.0    3.350E+12
 2275.0    3.389E+12
 2285.0    4.852E+12
 2295.0    4.119E+12
 2305.0    5.044E+12
 2315.0    4.358E+12
 2325.0    4.693E+12
 2335.0    3.951E+12
 2345.0    3.217E+12
 2355.0    5.159E+12
 2365.0    4.012E+12
 2375.0    4.860E+12
 2385.0    3.369E+12
 2395.0    4.146E+12
 2405.0    3.828E+12
 2415.0    4.501E+12
 2425.0    6.782E+12
 2435.0    6.244E+12
 2445.0    6.013E+12
 2455.0    4.806E+12
 2465.0    4.844E+12
 2475.0    5.626E+12
 2485.0    4.380E+12
 2495.0    5.620E+12
 2505.0    5.933E+12
 2515.0    4.611E+12
 2525.0    4.090E+12
 2535.0    5.274E+12
 2545.0    5.837E+12
 2555.0    8.281E+12
 2565.0    9.906E+12
 2575.0    1.232E+13
 2585.0    1.318E+13
 2595.0    1.102E+13
 2605.0    9.048E+12
 2615.0    8.932E+12
 2625.0    1.135E+13
 2635.0    1.664E+13
 2645.0    2.590E+13
 2655.0    2.710E+13
 2665.0    2.636E+13
 2675.0    2.652E+13
 2685.0    2.676E+13
 2695.0    2.401E+13
 2705.0    3.047E+13
 2715.0    2.537E+13
 2725.0    2.039E+13
 2735.0    2.328E+13
 2745.0    1.373E+13
 2755.0    2.011E+13
 2765.0    2.763E+13
 2775.0    2.768E+13
 2785.0    1.845E+13
 2795.0    9.248E+12
 2805.0    1.062E+13
 2815.0    2.409E+13
 2825.0    3.376E+13
 2835.0    3.777E+13
 2845.0    2.919E+13
 2855.0    1.508E+13
 2865.0    3.942E+13
 2875.0    4.323E+13
 2885.0    3.633E+13
 2895.0    5.432E+13
 2905.0    7.291E+13
 2915.0    6.820E+13
 2925.0    5.957E+13
 2935.0    6.807E+13
 2945.0    6.167E+13
 2955.0    6.966E+13
 2965.0    6.169E+13
 2975.0    6.666E+13
 2985.0    4.933E+13
 2995.0    6.886E+13
