7934
; High-resolution solar spectrum between 800-1150 A. 
; Based on measurements with SOHO/SUMER (Curdt et al., 1997)
; wave (A)   flux (photons in arbitrary units)
799.97174    2.71147E+07
800.01642    2.51760E+07
800.06104    2.43859E+07
800.10565    2.36675E+07
800.15033    2.35822E+07
800.19495    2.31041E+07
800.23962    2.27768E+07
800.28424    2.22867E+07
800.32892    2.16689E+07
800.37354    2.13009E+07
800.41815    2.19393E+07
800.46283    2.18006E+07
800.50745    2.21036E+07
800.55212    2.24108E+07
800.59674    2.26630E+07
800.64142    2.32267E+07
800.68604    2.42479E+07
800.73065    2.45606E+07
800.77533    2.45017E+07
800.81995    2.42788E+07
800.86462    2.32817E+07
800.90924    2.36128E+07
800.95392    2.42037E+07
800.99854    2.34082E+07
801.07574    2.45057E+07
801.12036    2.42761E+07
801.16492    2.43145E+07
801.20947    2.43975E+07
801.25409    2.48890E+07
801.29865    2.42420E+07
801.34326    2.41973E+07
801.38782    2.41940E+07
801.43237    2.48079E+07
801.47699    2.37119E+07
801.52155    2.45143E+07
801.56616    2.45812E+07
801.61072    2.44269E+07
801.65527    2.39932E+07
801.69989    2.29467E+07
801.74445    2.39222E+07
801.78906    2.47099E+07
801.83362    2.47095E+07
801.87823    2.47537E+07
801.92279    2.46313E+07
801.96735    2.39275E+07
802.01196    2.44428E+07
802.05652    2.43133E+07
802.10114    2.38839E+07
802.14569    2.36605E+07
802.19031    2.36063E+07
802.23486    2.37853E+07
802.27948    2.42990E+07
802.32404    2.47546E+07
802.36859    2.47232E+07
802.41321    2.36437E+07
802.45776    2.28466E+07
802.50238    2.33051E+07
802.54694    2.31120E+07
802.59155    2.31813E+07
802.63611    2.43216E+07
802.68066    2.35067E+07
802.72528    2.35308E+07
802.76984    2.36481E+07
802.81445    2.46635E+07
802.85901    2.37234E+07
802.90363    2.39653E+07
802.94818    2.41988E+07
802.99280    2.43890E+07
803.03735    2.53276E+07
803.08197    2.47324E+07
803.12653    2.48862E+07
803.17114    2.55611E+07
803.21570    2.41945E+07
803.26031    2.30836E+07
803.30487    2.30285E+07
803.34949    2.34610E+07
803.39404    2.46715E+07
803.43866    2.56133E+07
803.48322    2.66330E+07
803.52777    2.72599E+07
803.57239    2.62518E+07
803.61694    2.58244E+07
803.66156    2.53620E+07
803.70612    2.48672E+07
803.75073    2.43581E+07
803.79535    2.43834E+07
803.83990    2.47364E+07
803.88446    2.39157E+07
803.92908    2.39885E+07
803.97363    2.47116E+07
804.01825    2.67281E+07
804.02283    2.61486E+07
804.06744    2.73902E+07
804.11200    2.74351E+07
804.15662    2.74581E+07
804.20117    2.67439E+07
804.24579    2.56756E+07
804.29034    2.55069E+07
804.33496    2.57358E+07
804.37952    2.64278E+07
804.42413    2.68101E+07
804.46869    2.68714E+07
804.51331    2.63685E+07
804.55786    2.55774E+07
804.60248    2.55749E+07
804.64703    2.46981E+07
804.69165    2.48905E+07
804.73627    2.34439E+07
804.78082    2.37780E+07
804.82544    2.35610E+07
804.87000    2.45073E+07
804.91461    2.46608E+07
804.95917    2.46492E+07
805.00378    2.51815E+07
805.04834    2.60437E+07
805.09296    2.51415E+07
805.13751    2.50705E+07
805.18213    2.49017E+07
805.22675    2.51216E+07
805.27130    2.55134E+07
805.31592    2.58512E+07
805.36047    2.54152E+07
805.40509    2.50404E+07
805.44965    2.43718E+07
805.49426    2.50358E+07
805.53888    2.49985E+07
805.58344    2.48994E+07
805.62805    2.51631E+07
805.67261    2.46558E+07
805.71722    2.53098E+07
805.76178    2.53154E+07
805.80640    2.50104E+07
805.85101    2.44299E+07
805.89557    2.49287E+07
805.94019    2.54390E+07
805.98474    2.68701E+07
806.02936    2.62712E+07
806.07397    2.57521E+07
806.11853    2.52965E+07
806.16315    2.57100E+07
806.20770    2.65043E+07
806.25232    2.73190E+07
806.29694    2.87061E+07
806.34149    2.85756E+07
806.38611    3.00676E+07
806.43066    3.03669E+07
806.47528    3.21422E+07
806.51990    3.46106E+07
806.56445    3.49711E+07
806.60907    3.37883E+07
806.65369    3.09483E+07
806.69824    2.94958E+07
806.74286    2.91729E+07
806.78741    3.04826E+07
806.83203    3.06623E+07
806.87665    3.03810E+07
806.92120    2.88235E+07
806.96582    2.69983E+07
807.01044    2.61976E+07
807.05499    2.56436E+07
807.09961    2.62184E+07
807.14417    2.64815E+07
807.18878    2.61948E+07
807.23340    2.61400E+07
807.27795    2.67513E+07
807.32257    2.67921E+07
807.36719    2.81222E+07
807.41174    2.82985E+07
807.45636    2.78113E+07
807.50098    2.87539E+07
807.54553    2.85776E+07
807.59015    2.76725E+07
807.63477    2.74545E+07
807.67932    2.78071E+07
807.72394    2.74569E+07
807.76855    2.71887E+07
807.81311    2.81608E+07
807.85773    2.80542E+07
807.90234    2.83491E+07
807.94690    2.78991E+07
807.99152    2.77152E+07
808.03613    2.81758E+07
808.08069    2.75571E+07
808.12531    2.66353E+07
808.16992    2.63901E+07
808.21448    2.60593E+07
808.25909    2.64904E+07
808.30371    2.59950E+07
808.34827    2.50187E+07
808.39288    2.58960E+07
