    20       12 
Wavelength (Angstroms)                                                                                                          
  8.050E+02  8.150E+02  8.250E+02  8.350E+02  8.450E+02  8.550E+02  8.650E+02  8.750E+02  8.850E+02  8.950E+02
  9.050E+02  9.150E+02  9.250E+02  9.350E+02  9.450E+02  9.550E+02  9.650E+02  9.750E+02  9.850E+02  9.950E+02
Total Absorption Cross Section (cm^2)                                                                                           
  4.740E-17  4.785E-17  4.820E-17  4.845E-17  4.865E-17  4.875E-17  4.885E-17  4.895E-17  4.905E-17  4.905E-17
  4.890E-17  4.836E-17  4.750E-17  4.665E-17  4.581E-17  4.483E-17  4.371E-17  4.262E-17  4.155E-17  4.051E-17
Total Ion Cross Section (cm^2)                                                                                                  
  4.410E-17  4.330E-17  4.194E-17  3.999E-17  3.723E-17  3.361E-17  3.002E-17  2.692E-17  2.402E-17  2.106E-17
  1.779E-17  1.343E-17  9.235E-18  6.350E-18  2.446E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
CH4          + hv           = CH4P         + E            +              +              983.0                                   
  5.120E-01  5.202E-01  5.233E-01  5.270E-01  5.296E-01  5.346E-01  5.517E-01  5.402E-01  4.899E-01  4.296E-01
  3.641E-01  2.783E-01  1.948E-01  1.364E-01  7.569E-02  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
CH4          + hv           = CH3P         + H            + E            +              870.1                                   
  4.081E-01  3.791E-01  3.407E-01  2.906E-01  2.266E-01  1.502E-01  5.024E-02  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
CH4          + hv           = CH2P         + H2           + E            +              816.0                                   
  4.842E-03  1.154E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
CH4          + hv           = CH2P         + H            + H            + E            630.3                                   
  1.585E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
CH4          + hv           = CHP          + H2           + H            + E            627.9                                   
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
CH4          + hv           = CP           + H2           + H2           + E            640.5                                   
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
CH4          + hv           = H2P          + CH2          + E            +              613.0                                   
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
CH4          + hv           = HP           + CH3          + E            +              688.6                                   
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
CH4          + hv           = CH3          + H            +              +             2770.0                                   
  1.810E-02  2.472E-02  3.373E-02  4.538E-02  6.102E-02  8.068E-02  1.002E-01  1.170E-01  1.326E-01  1.483E-01
  1.653E-01  1.877E-01  2.093E-01  2.245E-01  2.403E-01  2.600E-01  2.600E-01  2.600E-01  2.600E-01  2.600E-01
CH4          + hv           = 1CH2         + H2           +              +             2373.0                                   
  1.183E-02  1.616E-02  2.206E-02  2.967E-02  3.990E-02  5.275E-02  6.550E-02  7.647E-02  8.672E-02  9.697E-02
  1.081E-01  1.227E-01  1.369E-01  1.468E-01  1.571E-01  1.700E-01  1.700E-01  1.700E-01  1.700E-01  1.700E-01
CH4          + hv           = CH2          + H            + H            +             1370.0                                   
  3.341E-02  4.563E-02  6.227E-02  8.377E-02  1.126E-01  1.489E-01  1.849E-01  2.159E-01  2.449E-01  2.738E-01
  3.052E-01  3.464E-01  3.865E-01  4.145E-01  4.437E-01  4.800E-01  4.800E-01  4.800E-01  4.800E-01  4.800E-01
CH4          + hv           = CH           + H2           + H            +             1322.0                                   
  6.265E-03  8.556E-03  1.168E-02  1.571E-02  2.112E-02  2.793E-02  3.468E-02  4.048E-02  4.591E-02  5.133E-02
  5.723E-02  6.496E-02  7.246E-02  7.772E-02  8.319E-02  9.000E-02  9.000E-02  9.000E-02  9.000E-02  9.000E-02
